# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	270	1658	+					dnaA	60866279	C1O30_RS00010	1389		old_locus_tag=C1O30_00010
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	270	1658	+	WP_019844242.1	WP_019844242.1		chromosomal replication initiator protein DnaA	dnaA	60866279	C1O30_RS00010	1389	462	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	1663	2763	+					dnaN	60866280	C1O30_RS00015	1101		old_locus_tag=C1O30_00015
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	1663	2763	+	WP_102800748.1	WP_102800748.1		DNA polymerase III subunit beta	dnaN	60866280	C1O30_RS00015	1101	366	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	2905	3990	+					recF	60866281	C1O30_RS00020	1086		old_locus_tag=C1O30_00020
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	2905	3990	+	WP_016941621.1	WP_016941621.1		DNA replication/repair protein RecF	recF	60866281	C1O30_RS00020	1086	361	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	4008	6419	+					gyrB	60866282	C1O30_RS00025	2412		old_locus_tag=C1O30_00025
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	4008	6419	+	WP_019844239.1	WP_019844239.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	60866282	C1O30_RS00025	2412	803	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	6499	7686	-						60866283	C1O30_RS00030	1188		old_locus_tag=C1O30_00030
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	6499	7686	-	WP_102800749.1	WP_102800749.1		MFS transporter		60866283	C1O30_RS00030	1188	395	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	7898	8650	-					rsmJ	60866284	C1O30_RS00035	753		old_locus_tag=C1O30_00035
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	7898	8650	-	WP_038912763.1	WP_038912763.1		16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	rsmJ	60866284	C1O30_RS00035	753	250	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	8647	10689	-					prlC	60866285	C1O30_RS00040	2043		old_locus_tag=C1O30_00040
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	8647	10689	-	WP_102800750.1	WP_102800750.1		oligopeptidase A	prlC	60866285	C1O30_RS00040	2043	680	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	10815	11099	-						60866286	C1O30_RS00045	285		old_locus_tag=C1O30_00045
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	10815	11099	-	WP_019844234.1	WP_019844234.1		DUF2623 domain-containing protein		60866286	C1O30_RS00045	285	94	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	11285	12127	+						60866287	C1O30_RS00050	843		old_locus_tag=C1O30_00050
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	11285	12127	+	WP_016941615.1	WP_016941615.1		23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ		60866287	C1O30_RS00050	843	280	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	12167	13081	-					rnz	60866288	C1O30_RS00055	915		old_locus_tag=C1O30_00055
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	12167	13081	-	WP_102800751.1	WP_102800751.1		ribonuclease Z	rnz	60866288	C1O30_RS00055	915	304	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	13092	14681	-					rtcR	60866289	C1O30_RS00060	1590		old_locus_tag=C1O30_00060
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	13092	14681	-	WP_102800752.1	WP_102800752.1		RNA repair transcriptional activator RtcR	rtcR	60866289	C1O30_RS00060	1590	529	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	14935	15828	+						60866290	C1O30_RS00065	894		old_locus_tag=C1O30_00065
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	14935	15828	+	WP_233789005.1	WP_233789005.1		hypothetical protein		60866290	C1O30_RS00065	894	297	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	15898	17124	+						60866291	C1O30_RS00070	1227		old_locus_tag=C1O30_00070
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	15898	17124	+	WP_199770309.1	WP_199770309.1		RtcB family protein		60866291	C1O30_RS00070	1227	408	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	17146	17931	+						60866292	C1O30_RS00075	786		old_locus_tag=C1O30_00075
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	17146	17931	+	WP_102800754.1	WP_102800754.1		nucleotidyltransferase domain-containing protein		60866292	C1O30_RS00075	786	261	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	18222	19574	+					gorA	60866293	C1O30_RS00080	1353		old_locus_tag=C1O30_00080
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	18222	19574	+	WP_019844228.1	WP_019844228.1		glutathione-disulfide reductase	gorA	60866293	C1O30_RS00080	1353	450	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	20442	21029	+						62087351	C1O30_RS21565	588		
CDS	with_protein	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	20442	21029	+	WP_199770310.1	WP_199770310.1		hypothetical protein		62087351	C1O30_RS21565	588	195	
gene	protein_coding	GCF_002887555.1	Primary Assembly	chromosome		NZ_CP025799.1	21039	22159	-						60866295	C1O30_RS00090	1121		old_locus_tag=C1O30_00090
