# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	89	1438	+					dnaA		GM695_RS00005	1350		old_locus_tag=GM695_00005
CDS	with_protein	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	89	1438	+	WP_192919066.1	WP_192919066.1		chromosomal replication initiator protein DnaA	dnaA		GM695_RS00005	1350	449	
gene	protein_coding	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	1463	2566	+					dnaN		GM695_RS00010	1104		old_locus_tag=GM695_00010
CDS	with_protein	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	1463	2566	+	WP_159628459.1	WP_159628459.1		DNA polymerase III subunit beta	dnaN		GM695_RS00010	1104	367	
gene	protein_coding	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	2842	3501	+							GM695_RS00015	660		old_locus_tag=GM695_00015
CDS	with_protein	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	2842	3501	+	WP_159628460.1	WP_159628460.1		IS1595 family transposase			GM695_RS00015	660	219	
gene	protein_coding	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	3665	4285	-							GM695_RS00020	621		old_locus_tag=GM695_00020
CDS	with_protein	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	3665	4285	-	WP_159628461.1	WP_159628461.1		tetratricopeptide repeat protein			GM695_RS00020	621	206	
gene	protein_coding	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	4294	5565	-					hisS		GM695_RS00025	1272		old_locus_tag=GM695_00025
CDS	with_protein	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	4294	5565	-	WP_159628462.1	WP_159628462.1		histidine--tRNA ligase	hisS		GM695_RS00025	1272	423	
gene	protein_coding	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	5576	6685	-					ispG		GM695_RS00030	1110		old_locus_tag=GM695_00030
CDS	with_protein	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	5576	6685	-	WP_159628463.1	WP_159628463.1		flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	ispG		GM695_RS00030	1110	369	
gene	protein_coding	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	6781	7686	-							GM695_RS00035	906		old_locus_tag=GM695_00035
CDS	with_protein	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	6781	7686	-	WP_159628464.1	WP_159628464.1		DUF4115 domain-containing protein			GM695_RS00035	906	301	
gene	protein_coding	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	7870	9246	-					argH		GM695_RS00040	1377		old_locus_tag=GM695_00040
CDS	with_protein	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	7870	9246	-	WP_159628465.1	WP_159628465.1		argininosuccinate lyase	argH		GM695_RS00040	1377	458	
gene	protein_coding	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	9349	10512	-					mnmA		GM695_RS00045	1164		old_locus_tag=GM695_00045
CDS	with_protein	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	9349	10512	-	WP_159628466.1	WP_159628466.1		tRNA 2-thiouridine(34) synthase MnmA	mnmA		GM695_RS00045	1164	387	
gene	protein_coding	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	10682	11332	+							GM695_RS00050	651		old_locus_tag=GM695_00050
CDS	with_protein	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	10682	11332	+	WP_159628467.1	WP_159628467.1		IS1595-like element ISMha3 family transposase			GM695_RS00050	651	216	
gene	protein_coding	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	11371	11616	-					nqrM		GM695_RS00055	246		old_locus_tag=GM695_00055
CDS	with_protein	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	11371	11616	-	WP_006250397.1	WP_006250397.1		(Na+)-NQR maturation NqrM	nqrM		GM695_RS00055	246	81	
gene	protein_coding	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	11629	12663	-							GM695_RS00060	1035		old_locus_tag=GM695_00060
CDS	with_protein	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	11629	12663	-	WP_159628468.1	WP_159628468.1		FAD:protein FMN transferase			GM695_RS00060	1035	344	
gene	protein_coding	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	12947	14176	-					nqrF		GM695_RS00065	1230		old_locus_tag=GM695_00065
CDS	with_protein	GCF_009828705.1	Primary Assembly	chromosome		NZ_CP046531.1	12947	14176	-	WP_159628469.1	WP_159628469.1		NADH:ubiquinone reductase (Na(+)-transporting) subunit F	nqrF		GM695_RS00065	1230	409	
