# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	4405375	779	-						42928137	A0T30_RS00005	1710		old_locus_tag=A0T30_00005
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	4405375	779	-	WP_172491645.1	WP_172491645.1		GspE/PulE family protein		42928137	A0T30_RS00005	1710	569	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	806	2158	-						42928138	A0T30_RS00010	1353		old_locus_tag=A0T30_00010
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	806	2158	-	WP_061902536.1	WP_061902536.1		tetratricopeptide repeat protein		42928138	A0T30_RS00010	1353	450	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	2155	3087	-						42928139	A0T30_RS00015	933		old_locus_tag=A0T30_00015
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	2155	3087	-	WP_061902537.1	WP_061902537.1		AAA family ATPase		42928139	A0T30_RS00015	933	310	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	3092	4687	-						42928140	A0T30_RS00020	1596		old_locus_tag=A0T30_00020
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	3092	4687	-	WP_061905591.1	WP_061905591.1		secretin N-terminal domain-containing protein		42928140	A0T30_RS00020	1596	531	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	4693	5007	-						42928141	A0T30_RS00025	315		old_locus_tag=A0T30_00025
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	4693	5007	-	WP_021699931.1	WP_021699931.1		hypothetical protein		42928141	A0T30_RS00025	315	104	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	5000	5671	-					gspM	42928142	A0T30_RS00030	672		old_locus_tag=A0T30_00030
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	5000	5671	-	WP_061902538.1	WP_061902538.1		type II secretion system protein GspM	gspM	42928142	A0T30_RS00030	672	223	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	5664	6272	-						42928143	A0T30_RS00035	609		old_locus_tag=A0T30_00035
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	5664	6272	-	WP_061902539.1	WP_061902539.1		PilN domain-containing protein		42928143	A0T30_RS00035	609	202	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	6272	7186	-						42928144	A0T30_RS00040	915		old_locus_tag=A0T30_00040
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	6272	7186	-	WP_237034828.1	WP_237034828.1		MSHA biogenesis protein MshI		42928144	A0T30_RS00040	915	304	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	7289	7750	+					trmL	42928145	A0T30_RS00045	462		old_locus_tag=A0T30_00045
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	7289	7750	+	WP_021699935.1	WP_021699935.1		tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL	trmL	42928145	A0T30_RS00045	462	153	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	7796	8269	-					secB	42928146	A0T30_RS00050	474		old_locus_tag=A0T30_00050
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	7796	8269	-	WP_061902541.1	WP_061902541.1		protein-export chaperone SecB	secB	42928146	A0T30_RS00050	474	157	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	8304	8558	-					grxC	42928147	A0T30_RS00055	255		old_locus_tag=A0T30_00055
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	8304	8558	-	WP_021699937.1	WP_021699937.1		glutaredoxin 3	grxC	42928147	A0T30_RS00055	255	84	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	8560	8973	-						42928148	A0T30_RS00060	414		old_locus_tag=A0T30_00060
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	8560	8973	-	WP_061902542.1	WP_061902542.1		rhodanese-like domain-containing protein		42928148	A0T30_RS00060	414	137	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	9114	10649	+					gpmI	42928149	A0T30_RS00065	1536		old_locus_tag=A0T30_00065
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	9114	10649	+	WP_061902543.1	WP_061902543.1		2,3-bisphosphoglycerate-independent phosphoglycerate mutase	gpmI	42928149	A0T30_RS00065	1536	511	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	10757	12001	+						42928150	A0T30_RS00070	1245		old_locus_tag=A0T30_00070
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	10757	12001	+	WP_061902544.1	WP_061902544.1		murein hydrolase activator EnvC		42928150	A0T30_RS00070	1245	414	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	12039	13352	+						42928151	A0T30_RS00075	1314		old_locus_tag=A0T30_00075
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	12039	13352	+	WP_061902545.1	WP_061902545.1		S41 family peptidase		42928151	A0T30_RS00075	1314	437	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	13410	14168	-						42928152	A0T30_RS00080	759		old_locus_tag=A0T30_00080
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	13410	14168	-	WP_061905592.1	WP_061905592.1		ABC transporter substrate-binding protein		42928152	A0T30_RS00080	759	252	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	14313	15068	-						42928153	A0T30_RS00085	756		old_locus_tag=A0T30_00085
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	14313	15068	-	WP_021699943.1	WP_021699943.1		ABC transporter substrate-binding protein		42928153	A0T30_RS00085	756	251	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	15296	16030	-						42928154	A0T30_RS00090	735		old_locus_tag=A0T30_00090
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	15296	16030	-	WP_061902546.1	WP_061902546.1		transporter substrate-binding domain-containing protein		42928154	A0T30_RS00090	735	244	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	16201	17922	+						42928155	A0T30_RS00095	1722		old_locus_tag=A0T30_00095
CDS	with_protein	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	16201	17922	+	WP_061902547.1	WP_061902547.1		type I secretion system permease/ATPase		42928155	A0T30_RS00095	1722	573	
gene	protein_coding	GCF_001597285.1	Primary Assembly	chromosome		NZ_CP014784.1	17925	19244	+						42928156	A0T30_RS00100	1320		old_locus_tag=A0T30_00100
