# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	4542231	1080	+					dnaA		EL255_RS00005	1371		old_locus_tag=NCTC12917_00001
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	4542231	1080	+	WP_042651570.1	WP_042651570.1		chromosomal replication initiator protein DnaA	dnaA		EL255_RS00005	1371	456	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	1164	2267	+					dnaN		EL255_RS00010	1104		old_locus_tag=NCTC12917_00002
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	1164	2267	+	WP_042651569.1	WP_042651569.1		DNA polymerase III subunit beta	dnaN		EL255_RS00010	1104	367	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	2270	3373	+					recF		EL255_RS00015	1104		old_locus_tag=NCTC12917_00003
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	2270	3373	+	WP_042651568.1	WP_042651568.1		DNA replication/repair protein RecF	recF		EL255_RS00015	1104	367	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	3370	5784	+					gyrB		EL255_RS00020	2415		old_locus_tag=NCTC12917_00004
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	3370	5784	+	WP_042651567.1	WP_042651567.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		EL255_RS00020	2415	804	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	5978	6358	-							EL255_RS00025	381		old_locus_tag=NCTC12917_00005
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	5978	6358	-	WP_042651566.1	WP_042651566.1		VOC family protein			EL255_RS00025	381	126	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	6427	7131	-							EL255_RS00030	705		old_locus_tag=NCTC12917_00006
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	6427	7131	-	WP_042651565.1	WP_042651565.1		YafY family transcriptional regulator			EL255_RS00030	705	234	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	7203	8165	-							EL255_RS00035	963		old_locus_tag=NCTC12917_00007
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	7203	8165	-	WP_042651564.1	WP_042651564.1		helix-turn-helix domain-containing protein			EL255_RS00035	963	320	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	8251	9021	-							EL255_RS00040	771		old_locus_tag=NCTC12917_00008
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	8251	9021	-	WP_042651563.1	WP_042651563.1		MBL fold metallo-hydrolase			EL255_RS00040	771	256	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	9291	9704	+							EL255_RS00045	414		old_locus_tag=NCTC12917_00009
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	9291	9704	+	WP_042651562.1	WP_042651562.1		Hsp20 family protein			EL255_RS00045	414	137	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	9786	10226	+							EL255_RS00050	441		old_locus_tag=NCTC12917_00010
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	9786	10226	+	WP_042651561.1	WP_042651561.1		Hsp20 family protein			EL255_RS00050	441	146	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	10280	11530	-							EL255_RS00055	1251		old_locus_tag=NCTC12917_00011
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	10280	11530	-	WP_042651560.1	WP_042651560.1		valine--pyruvate transaminase			EL255_RS00055	1251	416	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	11813	12046	+							EL255_RS00060	234		old_locus_tag=NCTC12917_00012
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	11813	12046	+	WP_042651559.1	WP_042651559.1		hypothetical protein			EL255_RS00060	234	77	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	12012	12800	-							EL255_RS00065	789		old_locus_tag=NCTC12917_00013
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	12012	12800	-	WP_042651558.1	WP_042651558.1		helix-turn-helix transcriptional regulator			EL255_RS00065	789	262	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	12893	14020	+							EL255_RS00070	1128		old_locus_tag=NCTC12917_00014
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	12893	14020	+	WP_042651557.1	WP_042651557.1		MFS transporter			EL255_RS00070	1128	375	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	14025	14708	-							EL255_RS00075	684		old_locus_tag=NCTC12917_00015
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	14025	14708	-	WP_042651556.1	WP_042651556.1		response regulator			EL255_RS00075	684	227	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	14793	17381	-							EL255_RS00080	2589		old_locus_tag=NCTC12917_00016
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	14793	17381	-	WP_042651555.1	WP_042651555.1		sensor histidine kinase KdpD			EL255_RS00080	2589	862	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	17533	18060	-							EL255_RS00085	528		old_locus_tag=NCTC12917_00018
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	17533	18060	-	WP_042651554.1	WP_042651554.1		potassium-transporting ATPase subunit C			EL255_RS00085	528	175	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	18121	20178	-					kdpB		EL255_RS00090	2058		old_locus_tag=NCTC12917_00019
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	18121	20178	-	WP_052445679.1	WP_052445679.1		potassium-transporting ATPase subunit KdpB	kdpB		EL255_RS00090	2058	685	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	20178	21860	-					kdpA		EL255_RS00095	1683		old_locus_tag=NCTC12917_00020
CDS	with_protein	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	20178	21860	-	WP_042651553.1	WP_042651553.1		potassium-transporting ATPase subunit KdpA	kdpA		EL255_RS00095	1683	560	
gene	protein_coding	GCF_900637545.1	Primary Assembly	chromosome		NZ_LR134376.1	22267	23616	-					gorA		EL255_RS00105	1350		old_locus_tag=NCTC12917_00021
