# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	1	1404	+					dnaA		J9874_RS00005	1404		old_locus_tag=J9874_00001
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	1	1404	+	WP_067434923.1	WP_067434923.1		chromosomal replication initiator protein DnaA	dnaA		J9874_RS00005	1404	467	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	1409	2509	+					dnaN		J9874_RS00010	1101		old_locus_tag=J9874_00002
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	1409	2509	+	WP_067434920.1	WP_067434920.1		DNA polymerase III subunit beta	dnaN		J9874_RS00010	1101	366	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	2946	4049	+					recF		J9874_RS00015	1104		old_locus_tag=J9874_00003
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	2946	4049	+	WP_187486559.1	WP_187486559.1		DNA replication/repair protein RecF	recF		J9874_RS00015	1104	367	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	4049	6457	+					gyrB		J9874_RS00020	2409		old_locus_tag=J9874_00004
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	4049	6457	+	WP_067434914.1	WP_067434914.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		J9874_RS00020	2409	802	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	6620	7432	+					yidA		J9874_RS00025	813		old_locus_tag=J9874_00005
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	6620	7432	+	WP_209501011.1	WP_209501011.1		sugar-phosphatase	yidA		J9874_RS00025	813	270	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	7524	8777	+							J9874_RS00030	1254		old_locus_tag=J9874_00006
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	7524	8777	+	WP_225701214.1	WP_225701214.1		DUF3748 domain-containing protein			J9874_RS00030	1254	417	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	8758	9123	-							J9874_RS00035	366		old_locus_tag=J9874_00007
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	8758	9123	-	WP_067435603.1	WP_067435603.1		YceK/YidQ family lipoprotein			J9874_RS00035	366	121	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	9423	9839	+					ibpA		J9874_RS00040	417		old_locus_tag=J9874_00008
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	9423	9839	+	WP_067434906.1	WP_067434906.1		heat shock chaperone IbpA	ibpA		J9874_RS00040	417	138	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	9888	10796	-							J9874_RS00045	909		old_locus_tag=J9874_00009
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	9888	10796	-	WP_067434903.1	WP_067434903.1		EamA family transporter			J9874_RS00045	909	302	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	11093	12343	-							J9874_RS00050	1251		old_locus_tag=J9874_00010
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	11093	12343	-	WP_187488390.1	WP_187488390.1		valine--pyruvate transaminase			J9874_RS00050	1251	416	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	12455	13429	-					ghrB		J9874_RS00055	975		old_locus_tag=J9874_00011
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	12455	13429	-	WP_225701215.1	WP_225701215.1		glyoxylate/hydroxypyruvate reductase GhrB	ghrB		J9874_RS00055	975	324	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	13490	14773	-							J9874_RS00060	1284		old_locus_tag=J9874_00012
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	13490	14773	-	WP_187486564.1	WP_187486564.1		MFS transporter			J9874_RS00060	1284	427	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	14833	15786	-							J9874_RS00065	954		old_locus_tag=J9874_00013
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	14833	15786	-	WP_187486565.1	WP_187486565.1		sugar kinase			J9874_RS00065	954	317	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	15790	16539	-							J9874_RS00070	750		old_locus_tag=J9874_00014
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	15790	16539	-	WP_187488388.1	WP_187488388.1		sugar phosphate isomerase/epimerase			J9874_RS00070	750	249	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	16720	17742	-							J9874_RS00075	1023		old_locus_tag=J9874_00015
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	16720	17742	-	WP_225701216.1	WP_225701216.1		LacI family DNA-binding transcriptional regulator			J9874_RS00075	1023	340	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	17882	18541	-							J9874_RS00080	660		old_locus_tag=J9874_00016
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	17882	18541	-	WP_067434885.1	WP_067434885.1		OmpA family lipoprotein			J9874_RS00080	660	219	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	18650	19210	-							J9874_RS00085	561		old_locus_tag=J9874_00017
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	18650	19210	-	WP_225701217.1	WP_225701217.1		DNA-3-methyladenine glycosylase I			J9874_RS00085	561	186	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	19353	21341	+							J9874_RS00090	1989		old_locus_tag=J9874_00018
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	19353	21341	+	WP_225701218.1	WP_225701218.1		autotransporter domain-containing protein			J9874_RS00090	1989	662	
gene	protein_coding	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	21453	22112	+							J9874_RS00095	660		old_locus_tag=J9874_00019
CDS	with_protein	GCF_020342335.1	Primary Assembly	chromosome		NZ_CP073262.1	21453	22112	+	WP_067434876.1	WP_067434876.1		hypothetical protein			J9874_RS00095	660	219	
