start,end,score,strand
11438,11472,48,-
14097,14136,57,+
16232,16275,53,-
18659,18679,47,-
21780,21801,48,-
22259,22289,66,-
47985,48013,53,+
80102,80123,48,+
96937,96957,47,+
124576,124609,47,-
129811,129845,58,+
137841,137874,60,-
150846,150868,48,-
164324,164361,58,-
180019,180043,59,-
180197,180227,65,-
182673,182715,52,+
182767,182802,54,+
205186,205220,58,+
205830,205865,59,+
206520,206537,50,+
208203,208221,50,+
217435,217458,50,+
222650,222670,47,+
239416,239439,60,+
245439,245468,52,-
246974,246992,49,+
267294,267325,49,+
275259,275276,52,+
286610,286647,74,-
292017,292059,52,-
293735,293774,55,-
296404,296427,78,+
296668,296696,53,+
349264,349282,50,+
356302,356323,49,+
356627,356655,63,+
368178,368208,54,+
373057,373084,55,+
385093,385120,55,+
391111,391138,55,+
403352,403374,48,+
408007,408037,51,+
408398,408422,48,+
410235,410271,61,+
419834,419854,47,-
429016,429050,60,-
429408,429427,47,-
440851,440874,63,+
440991,441034,49,+
454561,454581,64,-
463596,463624,57,+
471904,471923,47,-
475711,475728,52,+
491711,491739,54,-
511326,511355,51,-
511693,511719,56,-
512321,512362,55,-
514820,514844,48,+
518019,518048,66,+
519070,519111,55,-
521569,521593,48,+
524769,524798,66,+
529022,529046,48,+
531969,531988,51,-
532418,532447,66,+
536671,536695,48,+
539617,539636,51,-
540893,540917,58,-
543239,543284,48,-
543707,543745,58,-
557179,557208,52,+
562258,562276,49,+
569780,569812,48,-
576156,576189,64,-
580346,580391,49,+
593581,593625,47,+
593896,593914,49,+
595268,595308,48,+
601170,601188,49,+
610969,611009,71,+
611315,611341,66,+
612785,612821,48,-
614799,614831,65,+
618627,618645,50,+
661902,661940,54,+
662652,662684,63,+
664441,664475,79,+
683371,683411,55,+
687883,687916,48,+
721211,721249,51,+
722433,722461,69,-
735516,735549,59,+
736447,736468,48,+
743357,743375,49,+
768353,768371,50,+
773994,774017,50,+
774199,774229,77,-
774683,774716,58,-
775924,775947,48,+
776835,776868,58,-
781525,781548,50,+
781730,781760,77,-
782214,782247,58,-
783455,783478,48,+
784366,784399,58,-
799242,799262,51,+
817575,817599,59,+
823243,823277,60,+
832169,832209,57,+
841699,841721,49,+
852525,852564,55,+
853247,853278,60,+
864062,864099,97,+
864577,864602,57,+
871365,871395,51,-
884596,884611,72,-
961568,961591,60,+
967190,967230,71,-
978015,978048,56,+
984249,984273,48,-
992380,992399,49,+
1011867,1011894,57,-
1052169,1052210,48,-
1095348,1095381,55,+
1111607,1111631,48,-
1134726,1134759,51,-
1136120,1136146,56,-
1152291,1152325,59,+
1152959,1152986,60,+
1161193,1161214,48,+
1187411,1187428,50,+
1193662,1193690,68,+
1194806,1194842,61,+
1203149,1203178,52,+
1208783,1208808,47,+
1210441,1210477,57,+
1228590,1228619,51,+
1233740,1233781,50,-
1239140,1239168,63,+
1248750,1248776,58,+
1252782,1252802,48,+
1287497,1287537,53,-
1317199,1317218,49,+
1321780,1321807,55,-
1325989,1326009,48,+
1335037,1335057,48,+
1339849,1339875,55,-
1350610,1350636,56,+
1367745,1367776,52,+
1371510,1371548,53,-
1376201,1376233,49,-
1377452,1377484,49,-
1396279,1396306,55,+
1398859,1398892,52,-
1399326,1399343,69,-
1401226,1401246,54,+
1413721,1413757,58,+
1418780,1418803,61,+
1426818,1426838,48,+
1429317,1429346,80,+
1489415,1489446,62,-
1494717,1494735,50,+
1496009,1496050,51,-
1517683,1517711,54,+
1526197,1526225,54,+
1545619,1545650,65,+
1555908,1555932,48,+
1568594,1568617,48,+
1585844,1585881,57,+
1604326,1604364,58,+
1607207,1607231,48,+
1609346,1609390,81,+
1626519,1626552,59,+
1643859,1643887,54,+
1661325,1661354,52,+
1667083,1667111,66,-
1678875,1678897,49,-
1689332,1689357,47,+
1690531,1690557,64,+
1694953,1694981,63,+
1697940,1697977,59,+
1704345,1704371,68,+
1718329,1718359,51,+
1748260,1748279,47,+
1759024,1759056,52,+
1759979,1760012,64,+
1768806,1768836,49,+
1769658,1769677,49,+
1777625,1777653,52,+
1778075,1778100,60,-
1780156,1780193,58,-
1781298,1781329,55,+
1786415,1786441,70,+
1802718,1802737,66,+
1805302,1805325,60,-
1808944,1808962,50,+
1821259,1821287,54,+
1836728,1836749,48,+
1854664,1854689,75,+
1891323,1891351,61,-
1902222,1902245,60,+
1904854,1904883,58,+
1908096,1908122,56,+
1927917,1927954,54,+
1928049,1928095,52,-
1928577,1928605,54,+
1940990,1941018,54,-
1941308,1941357,75,-
1941419,1941456,57,-
1947811,1947835,59,-
1948054,1948086,49,+
1950113,1950131,67,-
1964016,1964051,59,-
1982033,1982078,49,-
1983766,1983811,49,-
1995697,1995734,58,-
2006786,2006813,55,-
2021727,2021750,49,-
2027000,2027043,52,-
2041952,2041989,61,-
2056134,2056170,54,-
2056207,2056238,67,-
2073199,2073221,51,-
2074097,2074121,59,-
2076314,2076348,60,-
2089382,2089405,60,-
2092814,2092843,52,-
2172018,2172055,57,+
2180012,2180051,53,-
2185858,2185888,51,-
2187680,2187712,48,-
2195239,2195277,55,+
2198330,2198349,49,-
2218027,2218046,49,-
2220126,2220146,64,-
2221425,2221452,60,-
2221694,2221736,48,+
2228886,2228914,52,-
2236933,2236970,47,-
2240511,2240537,60,+
2244476,2244500,59,-
2251538,2251568,49,-
2252517,2252546,65,-
2252938,2252963,67,-
2253519,2253559,53,-
2254580,2254620,51,-
2255984,2256015,50,-
2267259,2267276,52,-
2268237,2268281,54,-
2275751,2275786,57,+
2301715,2301736,48,-
2308497,2308520,91,-
2310125,2310145,47,-
2316444,2316461,50,-
2336823,2336856,76,+
2346575,2346617,52,-
2350324,2350349,47,-
2353188,2353217,65,-
2355677,2355710,59,+
2390732,2390773,53,-
2400884,2400912,63,+
2405796,2405816,64,-
2407024,2407047,50,-
2414518,2414536,49,+
2418921,2418944,60,-
2422481,2422518,55,+
2424076,2424104,52,-
2430970,2430992,48,-
2443653,2443675,61,-
2451295,2451317,61,-
2457930,2457950,64,-
2458088,2458131,54,+
2480780,2480806,67,-
2482622,2482658,57,-
2501526,2501552,56,+
2508952,2508967,72,+
2551411,2551431,51,-
2553572,2553607,60,+
2555946,2555980,76,+
2558156,2558176,47,+
2558553,2558594,53,-
2564412,2564445,48,-
2564879,2564900,49,-
2565280,2565305,47,+
2571239,2571282,50,-
2577020,2577039,51,-
2578114,2578158,49,-
2580030,2580064,56,-
2596631,2596652,51,-
2597648,2597671,49,-
2605896,2605913,50,-
2606018,2606037,51,-
2620960,2620998,59,-
2637212,2637234,61,+
2637941,2637961,47,-
2646927,2646970,50,-
2693349,2693374,57,-
2693681,2693705,69,-
2693724,2693742,49,-
2694558,2694596,51,-
2696524,2696547,60,-
2699758,2699781,60,-
2703329,2703353,69,-
2703372,2703390,49,-
2704206,2704244,51,-
2704757,2704797,53,-
2711391,2711419,63,+
2711842,2711887,48,+
2714212,2714236,58,+
2715493,2715512,51,+
2718420,2718444,48,-
2722668,2722697,66,-
2723127,2723146,51,+
2726069,2726093,48,-
2730317,2730346,66,-
2730776,2730795,51,+
2733816,2733846,51,-
2735223,2735243,47,+
2746048,2746086,58,-
2762425,2762456,48,+
2782919,2782947,63,-
2800490,2800512,49,-
2810104,2810125,48,-
2816438,2816472,47,-
2819256,2819283,57,+
2821060,2821091,63,+
2832863,2832887,48,-
2838055,2838076,49,-
2865123,2865153,101,-
2865526,2865549,49,-
2877372,2877392,64,+
2902791,2902816,71,+
2909867,2909887,64,-
2946311,2946337,56,-
2957862,2957901,55,-
2966207,2966232,47,+
2968192,2968217,58,-
3000447,3000471,48,+
3000806,3000833,64,-
3006274,3006296,62,-
3010089,3010126,59,-
3011802,3011821,51,-
3013078,3013102,58,-
3015427,3015472,48,-
3015895,3015933,58,-
3047506,3047540,58,+
3056633,3056659,104,+
3058706,3058731,58,+
3068405,3068425,47,-
3071079,3071103,59,+
3109120,3109148,57,-
3110522,3110542,47,-
3111550,3111572,51,-
3131757,3131795,59,-
3172505,3172526,49,+
3179667,3179701,47,-
3187688,3187713,57,-
3191583,3191614,83,+
3200877,3200916,55,+
3218724,3218756,49,-
3218946,3218989,55,-
3225376,3225398,61,-
3230373,3230389,52,+
3242051,3242090,54,+
3249065,3249087,61,-
3252378,3252415,91,-
3254074,3254110,62,-
3258607,3258637,66,-
3268546,3268582,74,+
3289370,3289415,52,-
3293601,3293633,79,-
3297524,3297568,53,-
3303313,3303336,60,-
3327401,3327447,48,-
3329970,3330014,53,+
3331099,3331119,48,-
3336609,3336624,53,-
3346968,3347002,51,-
3353142,3353181,61,-
3355625,3355655,51,-
3356731,3356776,48,-
3359507,3359541,60,+
3361650,3361682,48,-
3366178,3366218,51,-
3381395,3381430,62,-
3394157,3394177,49,-
3407201,3407249,76,-
3414416,3414461,49,-
3414765,3414793,65,-
3434933,3434951,50,+
3436196,3436230,48,-
3477218,3477244,56,+
3483440,3483460,47,-
3485623,3485665,54,-
3487651,3487686,56,+
3500110,3500129,47,-
3503600,3503648,47,-
3504656,3504682,56,+
3524770,3524786,70,+
3528993,3529011,49,+
3535763,3535798,58,-
3580022,3580055,62,+
3598622,3598650,80,-
3611896,3611916,51,+
3612392,3612420,54,-
3617082,3617102,48,+
3618363,3618393,63,-
3619078,3619098,47,-
3644801,3644829,54,-
3650626,3650645,49,-
3652617,3652637,51,-
3654983,3655015,48,+
3676282,3676315,52,-
3683290,3683317,53,-
3683981,3684018,55,-
3684712,3684729,69,-
3689928,3689968,54,-
3692320,3692351,51,-
3697404,3697430,56,-
3725035,3725055,49,-
3738011,3738033,48,+
3748074,3748098,48,+
3766152,3766180,54,-
3775408,3775426,50,-
3834869,3834901,49,-
3849294,3849321,55,-
3868581,3868616,57,+
3873294,3873338,47,+
3875727,3875758,48,-
3881139,3881158,49,+
3885457,3885488,62,-
3928698,3928726,54,-
3933892,3933920,54,-
3935895,3935914,49,+
3941770,3941795,93,-
3969411,3969451,51,-
3970812,3970831,49,-
3970878,3970906,63,-
3971640,3971662,51,-
3976615,3976644,65,-
3993585,3993618,48,-
4015702,4015734,63,+
4020354,4020399,47,+
4020430,4020465,59,+
