start,end,score,strand
8689,8715,56,+
109675,109698,48,+
144037,144056,49,+
164154,164190,54,+
181804,181827,63,+
181960,181985,57,+
204597,204630,59,+
251878,251914,58,+
263865,263899,60,-
287794,287819,47,+
310673,310692,49,+
316166,316191,57,+
339787,339809,48,+
347587,347621,56,+
348334,348374,51,+
352693,352723,80,+
353965,353988,48,-
391028,391069,49,+
407313,407350,75,+
431634,431652,52,-
442731,442753,51,+
447030,447060,49,-
447333,447353,48,-
477812,477834,51,+
482636,482673,56,+
493149,493175,56,+
497573,497598,57,+
511921,511954,59,+
528250,528280,68,+
529179,529208,63,-
549461,549480,66,-
560537,560566,58,+
571214,571233,47,-
584569,584592,60,+
589315,589343,54,+
589414,589452,57,+
591453,591489,61,-
594484,594517,79,+
595317,595334,52,-
607427,607457,51,+
610509,610550,55,+
649908,649933,47,-
658473,658497,48,+
669580,669599,47,+
680019,680042,48,+
687652,687681,51,+
706171,706203,48,+
717125,717148,49,+
752449,752469,47,+
753742,753777,60,+
758894,758913,47,+
768592,768627,50,+
799037,799078,55,+
804293,804315,51,+
812011,812045,50,+
820834,820861,55,+
832106,832126,48,+
844317,844359,50,-
851920,851963,67,-
875061,875104,48,+
884220,884241,48,+
890718,890736,50,+
891963,892002,54,+
894085,894125,57,+
914017,914038,48,-
915504,915535,63,+
931010,931042,59,+
934182,934208,56,+
973744,973773,68,+
983880,983920,71,-
986986,987014,63,+
1003521,1003557,48,+
1010574,1010595,48,+
1034115,1034143,68,-
1034360,1034386,56,-
1052741,1052765,48,+
1064259,1064283,48,+
1070780,1070798,50,+
1074365,1074390,57,+
1139137,1139177,52,-
1139691,1139716,47,+
1146128,1146150,61,+
1146374,1146409,47,-
1148897,1148920,60,+
1151899,1151932,48,+
1175441,1175489,49,+
1183752,1183789,51,+
1228023,1228062,53,+
1263184,1263216,60,+
1264571,1264601,51,+
1270304,1270343,54,-
1290032,1290064,58,-
1292090,1292127,86,+
1313746,1313776,68,+
1316052,1316071,47,-
1322579,1322598,47,+
1326176,1326208,62,+
1329374,1329394,48,+
1332153,1332178,47,+
1332754,1332773,66,+
1333250,1333292,50,+
1343783,1343807,59,+
1350628,1350655,83,+
1352083,1352110,55,+
1407598,1407639,55,+
1414771,1414800,52,+
1457080,1457099,47,+
1474068,1474096,54,+
1494292,1494322,65,+
1509716,1509739,48,+
1518024,1518044,47,+
1519202,1519237,59,+
1527709,1527734,47,+
1528543,1528576,48,+
1530075,1530113,55,+
1548166,1548184,51,+
1559668,1559689,62,+
1565184,1565217,48,+
1582739,1582761,49,+
1619263,1619292,68,+
1639852,1639884,54,+
1707839,1707868,52,+
1761420,1761453,50,+
1764030,1764065,58,+
1764531,1764570,53,+
1771540,1771562,48,+
1779035,1779054,47,+
1779988,1780031,54,-
1788848,1788873,57,+
1826532,1826561,52,-
1828558,1828580,49,-
1834494,1834510,52,+
1848252,1848287,59,+
1848631,1848666,56,+
1851083,1851107,59,+
1912673,1912695,48,+
1912793,1912829,61,+
1921622,1921640,51,+
1931781,1931798,52,+
1935121,1935157,54,+
1944162,1944209,50,+
1948228,1948269,55,-
1948640,1948667,66,+
1950862,1950893,48,+
1950960,1950979,47,+
1966011,1966037,56,-
2004915,2004948,55,+
2020367,2020394,66,+
