# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	1	1401	+					dnaA		DA718_00005	1401		
CDS	with_protein	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	1	1401	+	QBG05669.1			chromosomal replication initiator protein DnaA	dnaA		DA718_00005	1401	466	
gene	protein_coding	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	1406	2506	+					dnaN		DA718_00010	1101		
CDS	with_protein	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	1406	2506	+	QBG05670.1			DNA polymerase III subunit beta	dnaN		DA718_00010	1101	366	
gene	protein_coding	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	2653	3726	+					recF		DA718_00015	1074		
CDS	with_protein	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	2653	3726	+	QBG05671.1			DNA replication/repair protein RecF	recF		DA718_00015	1074	357	
gene	protein_coding	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	3755	6169	+					gyrB		DA718_00020	2415		
CDS	with_protein	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	3755	6169	+	QBG05672.1			DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		DA718_00020	2415	804	
gene	protein_coding	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	6188	7084	-							DA718_00025	897		
CDS	with_protein	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	6188	7084	-	QBG05673.1			LysR family transcriptional regulator			DA718_00025	897	298	
gene	protein_coding	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	7199	8389	-							DA718_00030	1191		
CDS	with_protein	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	7199	8389	-	QBG05674.1			mandelate racemase/muconate lactonizing enzyme family protein			DA718_00030	1191	396	
gene	protein_coding	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	8406	9668	-							DA718_00035	1263		
CDS	with_protein	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	8406	9668	-	QBG05675.1			MFS transporter			DA718_00035	1263	420	
gene	protein_coding	GCA_003261575.2	Primary Assembly	chromosome		CP036175.1	9979	10791	+							DA718_00040	813		
