start,end,score,strand
3822,3841,47,-
8143,8167,59,+
9579,9598,49,-
9762,9796,58,-
14235,14263,52,+
16248,16271,60,-
16276,16299,60,-
18139,18156,52,-
19404,19450,92,-
19461,19485,48,-
19641,19661,47,-
24636,24670,72,+
24751,24771,64,+
24840,24861,63,-
25751,25785,59,+
26261,26294,64,-
34371,34411,51,-
38033,38052,56,+
38169,38192,60,-
38197,38220,60,-
38367,38411,54,-
38985,39003,50,-
39142,39165,60,+
39447,39494,48,-
43046,43065,66,+
49905,49946,58,+
50027,50049,61,+
51361,51387,61,+
51995,52023,54,+
54885,54925,71,+
57547,57568,64,-
60309,60346,73,+
61630,61661,105,+
61760,61780,64,-
62345,62368,64,-
66636,66656,64,+
66696,66716,64,-
70969,71003,58,+
72272,72294,61,+
73013,73036,60,-
81385,81413,54,-
84711,84736,86,+
84845,84864,49,-
84940,84982,54,-
85010,85030,64,-
86168,86188,64,+
86239,86259,64,-
86386,86425,54,-
88168,88205,75,-
88282,88308,68,-
88316,88332,52,-
88345,88375,66,-
91679,91698,47,+
93811,93844,48,+
93950,93971,72,+
95786,95834,90,+
95858,95875,52,+
102204,102228,48,-
106759,106801,95,+
106888,106932,52,-
107906,107941,65,-
108162,108182,51,-
114286,114314,83,-
115016,115045,54,-
115567,115594,88,+
115857,115882,47,-
118978,119003,86,+
126984,127032,88,-
127124,127146,61,+
127220,127243,60,-
130844,130873,65,+
130931,130957,73,+
131146,131166,64,+
136600,136620,64,+
137331,137351,48,-
139279,139307,54,+
139634,139668,61,+
139802,139826,59,-
145694,145723,60,+
154392,154419,55,+
155344,155384,55,-
157666,157707,57,-
159977,160000,60,-
160005,160028,60,-
160033,160056,60,-
160061,160095,102,-
160625,160652,55,+
161094,161121,68,-
162019,162059,52,-
164008,164052,79,+
164222,164249,65,+
164412,164439,55,+
164528,164558,52,+
165583,165612,51,-
168500,168531,50,+
168845,168867,72,+
169592,169625,101,+
171879,171896,50,-
172801,172841,114,+
172924,172958,74,+
176322,176360,56,+
176449,176469,64,+
181520,181551,95,-
181604,181627,60,-
181632,181653,63,-
185135,185171,64,-
187976,188003,55,-
193212,193234,48,+
194850,194873,60,-
197660,197685,47,+
198700,198721,53,+
203861,203888,55,-
204301,204328,55,-
209144,209163,49,-
212340,212382,49,-
214602,214623,72,+
214656,214675,66,-
214908,214929,72,+
214969,214988,66,-
215131,215155,71,+
219662,219694,82,-
225216,225236,64,+
227097,227127,62,+
229011,229034,60,+
229061,229101,53,+
230069,230090,48,-
231760,231783,60,+
231797,231815,49,+
231866,231885,47,-
234640,234660,64,+
236375,236410,50,-
236969,236991,61,-
240524,240567,55,-
250724,250749,57,+
252544,252574,66,+
254007,254023,52,+
255483,255503,64,-
255683,255703,64,+
259210,259233,60,-
259255,259276,48,-
262388,262411,60,-
264496,264519,60,+
266931,266952,63,+
268205,268240,54,+
272522,272549,53,+
272614,272644,70,+
273218,273256,69,-
273647,273670,49,-
275123,275141,51,-
275636,275669,55,-
283665,283689,48,-
290459,290487,54,+
292118,292147,52,-
292152,292175,60,-
313296,313317,63,-
319548,319576,66,+
321073,321093,64,-
321130,321159,52,-
325910,325952,50,+
333394,333427,48,+
334220,334242,89,-
334359,334398,73,-
345027,345046,47,+
349397,349417,48,+
350726,350748,48,-
351545,351569,59,-
353382,353401,49,-
353758,353784,64,-
354404,354425,63,-
354526,354550,48,-
355919,355955,61,-
357787,357810,60,-
361811,361838,55,+
362017,362048,50,+
371235,371271,119,-
373163,373184,48,-
373737,373763,56,+
376657,376690,60,+
378160,378180,64,-
383051,383074,60,+
383200,383223,60,-
383281,383304,60,-
383362,383385,60,-
383401,383422,48,-
387008,387037,97,+
387179,387200,63,-
387220,387240,47,-
387282,387309,64,-
387609,387636,66,+
388573,388590,50,+
393889,393907,51,+
394385,394423,61,+
396347,396364,52,+
398193,398214,72,+
398845,398865,64,+
399085,399105,64,+
399326,399346,64,+
399444,399477,51,+
400113,400155,47,+
401889,401912,60,+
401917,401940,60,+
406194,406214,92,-
411387,411429,57,+
411889,411916,81,-
413482,413508,66,+
413840,413878,53,+
414181,414214,64,+
415876,415914,53,-
420211,420228,50,-
421489,421506,52,+
425498,425517,49,+
426790,426814,48,+
430867,430892,47,+
435290,435319,70,+
435356,435386,51,+
440100,440141,70,-
441241,441271,60,+
441292,441322,57,+
441666,441693,55,+
442136,442155,49,+
444585,444607,61,-
451379,451406,100,+
454632,454667,75,-
454783,454822,59,-
459269,459293,59,-
459296,459316,64,+
465118,465136,49,-
472484,472521,58,+
474818,474836,50,+
474985,475011,68,+
475133,475166,59,+
476013,476052,51,-
476125,476146,49,-
479333,479365,59,-
479393,479435,49,-
479475,479496,49,-
482077,482105,69,+
482193,482216,60,-
484318,484355,58,-
495237,495256,66,+
