# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	1	1395	+					dnaA	63140002	FY206_RS00005	1395		old_locus_tag=FY206_00005
CDS	with_protein	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	1	1395	+	WP_032644250.1	WP_032644250.1		chromosomal replication initiator protein DnaA	dnaA	63140002	FY206_RS00005	1395	464	
gene	protein_coding	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	1400	2500	+					dnaN	63140003	FY206_RS00010	1101		old_locus_tag=FY206_00010
CDS	with_protein	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	1400	2500	+	WP_032644248.1	WP_032644248.1		DNA polymerase III subunit beta	dnaN	63140003	FY206_RS00010	1101	366	
gene	protein_coding	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	2500	3573	+					recF	63140004	FY206_RS00015	1074		old_locus_tag=FY206_00015
CDS	with_protein	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	2500	3573	+	WP_032644247.1	WP_032644247.1		DNA replication/repair protein RecF	recF	63140004	FY206_RS00015	1074	357	
gene	protein_coding	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	3602	6013	+					gyrB	63140005	FY206_RS00020	2412		old_locus_tag=FY206_00020
CDS	with_protein	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	3602	6013	+	WP_032644246.1	WP_032644246.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	63140005	FY206_RS00020	2412	803	
gene	protein_coding	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	6048	6983	-						63140006	FY206_RS00025	936		old_locus_tag=FY206_00025
CDS	with_protein	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	6048	6983	-	WP_032644245.1	WP_032644245.1		LysR family transcriptional regulator		63140006	FY206_RS00025	936	311	
gene	protein_coding	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	7086	8111	+						63140007	FY206_RS00030	1026		old_locus_tag=FY206_00030
CDS	with_protein	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	7086	8111	+	WP_077064359.1	WP_077064359.1		NAD(P)-dependent alcohol dehydrogenase		63140007	FY206_RS00030	1026	341	
gene	protein_coding	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	8265	9416	-						63140008	FY206_RS00035	1152		old_locus_tag=FY206_00035
CDS	with_protein	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	8265	9416	-	WP_032644243.1	WP_032644243.1		DUF2220 family protein		63140008	FY206_RS00035	1152	383	
gene	protein_coding	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	9397	12777	-						63140009	FY206_RS00040	3381		old_locus_tag=FY206_00040
CDS	with_protein	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	9397	12777	-	WP_045890425.1	WP_045890425.1		ATP-binding protein		63140009	FY206_RS00040	3381	1126	
gene	protein_coding	GCF_001984825.2	Primary Assembly	chromosome		NZ_CP043318.1	12770	13375	-						63140010	FY206_RS00045	606		old_locus_tag=FY206_00045
