start,end,score,strand
6692,6713,90,+
11464,11484,64,-
12991,13021,51,+
25117,25144,55,+
26134,26155,63,+
32434,32460,66,+
44895,44920,57,+
47643,47664,51,+
50812,50830,49,-
51985,52013,65,+
53459,53479,64,-
69287,69304,52,+
70060,70094,61,+
75604,75643,54,-
78704,78738,58,+
81320,81340,64,+
82695,82730,48,+
90873,90909,56,+
90936,90958,70,-
90997,91017,64,+
105692,105728,53,+
117793,117828,56,+
123694,123726,49,+
144432,144452,64,-
144499,144521,70,+
146740,146760,64,-
152534,152551,52,+
153588,153609,48,+
157410,157433,48,+
157597,157644,48,+
175686,175708,89,-
180348,180382,65,-
190783,190805,61,+
194602,194624,89,-
200894,200920,61,-
201945,201965,47,-
202202,202234,50,+
203662,203682,64,-
203740,203762,89,+
206592,206615,61,+
209686,209717,62,+
220917,220937,64,+
251300,251333,58,+
266600,266622,89,+
268398,268418,64,+
269009,269035,56,-
273741,273772,50,+
289125,289146,72,+
289164,289184,64,-
290487,290511,69,-
296977,297004,57,+
297053,297090,47,+
297188,297218,60,-
297547,297565,49,+
320838,320860,89,-
320920,320938,67,+
330879,330914,61,+
331650,331672,79,+
335396,335416,64,-
339686,339708,89,+
343432,343454,70,+
344457,344500,49,+
346683,346712,54,+
348652,348686,60,-
350454,350476,70,-
350513,350534,72,+
352818,352840,61,-
354154,354174,64,+
357157,357186,54,-
360594,360614,64,+
363729,363749,64,-
369433,369470,47,+
371104,371147,49,+
372571,372593,89,-
372643,372665,70,+
389303,389338,55,-
418929,418957,54,+
431317,431339,70,-
432166,432186,64,+
432443,432463,47,-
432983,433002,49,-
438601,438638,55,+
444781,444815,60,+
451385,451413,55,+
459406,459437,48,-
459628,459663,52,-
468060,468091,48,+
474314,474336,70,+
477645,477694,57,+
482646,482668,89,+
486504,486534,64,+
490920,490942,89,-
490979,491001,70,+
494618,494638,64,-
494704,494724,64,+
501299,501315,52,+
504570,504590,64,-
512324,512346,70,-
512384,512406,89,+
515762,515782,64,+
532638,532682,53,-
532811,532830,66,-
533360,533378,51,+
540249,540269,64,+
540343,540363,64,+
547062,547094,67,+
548430,548452,89,-
549861,549895,47,+
554274,554295,49,+
556531,556573,55,+
562027,562047,64,-
567753,567775,89,-
567812,567834,70,+
571717,571737,64,+
571757,571779,70,-
574753,574774,48,+
575579,575623,53,-
576874,576921,47,-
578125,578155,61,-
578156,578185,52,+
584021,584069,47,+
598559,598577,49,+
615981,616002,49,+
627827,627847,64,-
628636,628656,64,+
634188,634210,70,-
634260,634282,89,+
636322,636341,47,-
636400,636422,107,+
656479,656510,65,+
660915,660934,47,+
661130,661167,54,-
662189,662213,59,-
680045,680065,47,+
681338,681373,60,+
689661,689697,57,+
690586,690604,52,+
694769,694799,65,-
697459,697495,61,+
702605,702637,57,-
706812,706831,47,+
714759,714791,59,+
715369,715389,64,+
721897,721939,53,+
755006,755041,76,+
776384,776412,54,+
778404,778446,57,+
781687,781707,64,+
786113,786133,64,-
786789,786834,52,-
789344,789364,64,-
795992,796024,61,+
803211,803231,64,-
808114,808156,69,+
817177,817197,64,-
819117,819160,48,+
827247,827267,64,+
831257,831277,64,+
832424,832463,54,+
840015,840042,55,+
842490,842522,49,+
871286,871308,61,-
882598,882630,51,-
885028,885056,65,+
886651,886670,47,+
887932,887952,64,+
901042,901076,60,+
917562,917590,54,-
920628,920648,51,-
921966,921999,59,+
934838,934861,49,+
942348,942387,53,+
942673,942698,57,+
943747,943769,70,-
943818,943838,64,+
958155,958191,55,+
960936,960967,67,+
965530,965552,70,+
967951,967971,64,-
977865,977887,89,+
978279,978302,96,-
991759,991779,64,+
994156,994178,49,-
998936,998971,58,-
1003072,1003092,64,-
1006661,1006685,59,+
1007299,1007339,58,-
1030344,1030383,50,+
1035021,1035052,60,+
1039541,1039564,60,+
1042837,1042863,56,-
1044196,1044218,61,+
1044489,1044513,59,+
1057299,1057318,47,+
1062499,1062521,89,+
1069704,1069725,72,-
1069762,1069784,70,+
1073028,1073050,70,-
1073100,1073121,90,+
1074493,1074526,52,-
1082658,1082695,56,+
1088372,1088407,58,+
1090225,1090244,49,+
1105195,1105217,89,-
1125614,1125634,64,+
1127140,1127168,54,+
1139233,1139254,63,-
1142967,1143008,54,+
1146618,1146639,72,-
1146677,1146695,67,+
1155405,1155433,55,-
1159650,1159682,57,+
1166507,1166536,52,-
1173160,1173179,47,-
1175674,1175693,47,-
1183558,1183578,64,-
1183582,1183602,64,+
1186768,1186804,56,+
1188132,1188155,69,-
1197105,1197149,49,+
1197158,1197198,55,+
1198418,1198442,48,+
1202932,1202971,54,+
1205708,1205728,64,-
1206214,1206234,48,+
1207018,1207038,64,-
1208852,1208883,62,+
1210290,1210313,69,-
1257728,1257748,64,-
1258276,1258308,64,-
1282070,1282086,52,+
1287910,1287930,64,-
1289509,1289528,49,+
1298182,1298215,48,+
1304818,1304837,49,+
1306397,1306417,64,+
1311631,1311651,64,-
1311716,1311739,69,+
1319022,1319042,48,-
1334165,1334187,61,-
1356611,1356641,51,+
1365743,1365766,60,+
1368815,1368837,89,-
1368894,1368914,64,+
1373695,1373715,64,-
1376086,1376127,55,+
1403590,1403612,61,-
1420340,1420360,64,+
1421187,1421225,55,-
1427841,1427873,57,-
1428284,1428304,64,+
1428324,1428344,64,-
1432232,1432251,51,+
1432511,1432531,64,-
1435570,1435585,53,+
1441044,1441066,89,-
1441115,1441142,89,+
1443346,1443381,55,+
1449342,1449377,62,+
1453095,1453127,49,-
1453600,1453628,66,+
1454632,1454658,56,+
1455929,1455958,52,+
1469311,1469341,60,-
1480366,1480401,50,+
1481474,1481492,52,+
1483157,1483178,48,+
1487144,1487160,70,+
1492945,1492967,89,+
1501993,1502016,78,+
1505902,1505922,64,-
1512619,1512652,52,+
1516189,1516211,89,+
1535103,1535119,52,+
1551702,1551738,59,+
1580958,1580996,53,-
1584735,1584755,64,+
1597083,1597121,55,+
1599611,1599629,50,+
1622484,1622516,50,+
1626886,1626927,53,+
1646405,1646445,54,-
1649534,1649557,48,+
1649677,1649715,55,+
1649764,1649785,63,+
1661660,1661693,63,+
1662489,1662511,89,-
1662569,1662589,64,+
1663668,1663689,49,-
1665532,1665571,54,+
1678693,1678715,61,+
1682320,1682347,55,+
