start,end,score,strand
6288,6319,50,-
20815,20854,54,+
26070,26093,60,+
45140,45160,47,+
48528,48548,49,-
55817,55841,59,-
64629,64666,56,-
64978,64995,52,-
69162,69200,54,-
79383,79400,69,+
80303,80324,49,-
85871,85904,64,+
101758,101776,49,+
135878,135897,47,-
151850,151871,63,-
197347,197374,86,-
204620,204658,58,+
230949,230983,48,+
232836,232866,60,-
253601,253628,58,+
271595,271634,51,+
277291,277313,61,-
281428,281465,64,-
287631,287658,55,-
289952,289984,62,+
294368,294399,65,+
298908,298933,47,+
299197,299233,56,+
318192,318214,48,+
320536,320565,51,-
322307,322349,52,+
345927,345951,48,-
356272,356307,55,+
359533,359554,49,+
371701,371727,58,-
377509,377529,48,-
382414,382447,48,+
390791,390809,51,+
396372,396392,48,-
416599,416642,48,+
425237,425257,47,+
497822,497853,57,+
501291,501314,50,+
513996,514025,52,+
519967,519990,59,+
545392,545422,66,+
551808,551845,53,+
591681,591713,78,+
602612,602642,68,+
604806,604830,48,-
607526,607552,66,+
633415,633440,88,+
639365,639386,63,+
682437,682456,51,+
689667,689692,47,+
727957,727986,55,+
737834,737867,48,+
741688,741707,47,+
755814,755851,59,+
763377,763415,55,+
774902,774928,55,+
783711,783729,50,-
788136,788161,63,+
908638,908661,48,+
923904,923928,59,+
934035,934059,48,+
939391,939415,59,+
943433,943454,48,+
949578,949616,54,-
974283,974326,50,+
976934,976973,51,+
987822,987845,60,+
991731,991764,50,+
1032244,1032269,57,-
1041164,1041181,50,+
1042036,1042077,57,+
1043389,1043422,59,-
1057224,1057265,53,+
1063115,1063148,62,-
1068683,1068709,56,-
1088519,1088545,56,+
1099826,1099857,48,+
1106784,1106816,49,+
1109228,1109272,48,+
1125282,1125307,47,-
1132501,1132523,49,+
1141108,1141129,51,+
1146870,1146895,57,+
1158975,1159006,54,+
1166814,1166838,59,+
1178200,1178221,49,+
1186033,1186057,64,+
1191994,1192014,48,-
1217960,1217998,54,+
1264771,1264805,47,-
1270122,1270140,49,+
1279029,1279056,63,+
1290607,1290627,64,-
1290686,1290727,70,-
1312448,1312488,57,+
1313074,1313106,76,+
1325339,1325355,52,+
1331133,1331170,51,+
1344480,1344515,59,+
1386571,1386604,48,+
1404762,1404796,48,+
1409715,1409747,61,+
1453592,1453615,78,+
1528410,1528447,54,+
1529097,1529134,55,-
1531648,1531687,55,+
1560776,1560798,49,-
1577889,1577922,74,+
1582148,1582181,76,+
1608945,1608974,54,+
1612221,1612255,57,+
1615170,1615189,47,-
1624437,1624464,53,+
1627398,1627437,50,-
