# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	4711042	1047	+					dnaA		C1N69_RS00005	1395		old_locus_tag=C1N69_00005
CDS	with_protein	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	4711042	1047	+	WP_010426558.1	WP_010426558.1		chromosomal replication initiator protein DnaA	dnaA		C1N69_RS00005	1395	464	
gene	protein_coding	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	1052	2152	+					dnaN		C1N69_RS00010	1101		old_locus_tag=C1N69_00010
CDS	with_protein	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	1052	2152	+	WP_014830028.1	WP_014830028.1		DNA polymerase III subunit beta	dnaN		C1N69_RS00010	1101	366	
gene	protein_coding	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	2152	3225	+					recF		C1N69_RS00015	1074		old_locus_tag=C1N69_00015
CDS	with_protein	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	2152	3225	+	WP_013094779.1	WP_013094779.1		DNA replication/repair protein RecF	recF		C1N69_RS00015	1074	357	
gene	protein_coding	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	3254	5665	+					gyrB		C1N69_RS00020	2412		old_locus_tag=C1N69_00020
CDS	with_protein	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	3254	5665	+	WP_047957396.1	WP_047957396.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		C1N69_RS00020	2412	803	
gene	protein_coding	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	5699	6634	-							C1N69_RS00025	936		old_locus_tag=C1N69_00025
CDS	with_protein	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	5699	6634	-	WP_155030476.1	WP_155030476.1		LysR family transcriptional regulator			C1N69_RS00025	936	311	
gene	protein_coding	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	6743	7768	+							C1N69_RS00030	1026		old_locus_tag=C1N69_00030
CDS	with_protein	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	6743	7768	+	WP_155030477.1	WP_155030477.1		NAD(P)-dependent alcohol dehydrogenase			C1N69_RS00030	1026	341	
gene	protein_coding	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	7883	8698	+					yidA		C1N69_RS00035	816		old_locus_tag=C1N69_00035
CDS	with_protein	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	7883	8698	+	WP_045285338.1	WP_045285338.1		sugar-phosphatase	yidA		C1N69_RS00035	816	271	
gene	protein_coding	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	8926	9615	+					dgoR		C1N69_RS00040	690		old_locus_tag=C1N69_00040
CDS	with_protein	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	8926	9615	+	WP_003861109.1	WP_003861109.1		D-galactonate utilization transcriptional regulator DgoR	dgoR		C1N69_RS00040	690	229	
gene	protein_coding	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	9612	10490	+							C1N69_RS00045	879		old_locus_tag=C1N69_00045
CDS	with_protein	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	9612	10490	+	WP_155030478.1	WP_155030478.1		2-dehydro-3-deoxygalactonokinase			C1N69_RS00045	879	292	
gene	protein_coding	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	10474	11091	+							C1N69_RS00050	618		old_locus_tag=C1N69_00050
CDS	with_protein	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	10474	11091	+	WP_155030479.1	WP_155030479.1		2-dehydro-3-deoxy-6-phosphogalactonate aldolase			C1N69_RS00050	618	205	
gene	protein_coding	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	11088	12236	+					dgoD		C1N69_RS00055	1149		old_locus_tag=C1N69_00055
CDS	with_protein	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	11088	12236	+	WP_047957400.1	WP_047957400.1		galactonate dehydratase	dgoD		C1N69_RS00055	1149	382	
gene	protein_coding	GCF_009036245.1	Primary Assembly	chromosome		NZ_CP027986.1	12323	13660	+							C1N69_RS00060	1338		old_locus_tag=C1N69_00060
