# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	101	1471	+					dnaA	70081439	H7R77_RS00005	1371		old_locus_tag=WP8S18E04_00010
CDS	with_protein	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	101	1471	+	WP_039040645.1	WP_039040645.1		chromosomal replication initiator protein DnaA	dnaA	70081439	H7R77_RS00005	1371	456	
gene	protein_coding	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	1555	2658	+					dnaN	70081440	H7R77_RS00010	1104		old_locus_tag=WP8S18E04_00020
CDS	with_protein	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	1555	2658	+	WP_039040646.1	WP_039040646.1		DNA polymerase III subunit beta	dnaN	70081440	H7R77_RS00010	1104	367	
gene	protein_coding	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	2661	3764	+					recF	70081441	H7R77_RS00015	1104		old_locus_tag=WP8S18E04_00030
CDS	with_protein	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	2661	3764	+	WP_010672287.1	WP_010672287.1		DNA replication/repair protein RecF	recF	70081441	H7R77_RS00015	1104	367	
gene	protein_coding	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	3761	6172	+					gyrB	70081442	H7R77_RS00020	2412		old_locus_tag=WP8S18E04_00040
CDS	with_protein	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	3761	6172	+	WP_182976211.1	WP_182976211.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	70081442	H7R77_RS00020	2412	803	
gene	protein_coding	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	6276	7241	-						70081443	H7R77_RS00025	966		old_locus_tag=WP8S18E04_00050
CDS	with_protein	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	6276	7241	-	WP_134997019.1	WP_134997019.1		helix-turn-helix domain-containing protein		70081443	H7R77_RS00025	966	321	
gene	protein_coding	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	7327	8097	-						70081444	H7R77_RS00030	771		old_locus_tag=WP8S18E04_00060
CDS	with_protein	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	7327	8097	-	WP_134997020.1	WP_134997020.1		MBL fold metallo-hydrolase		70081444	H7R77_RS00030	771	256	
gene	protein_coding	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	8354	8767	+						70081445	H7R77_RS00035	414		old_locus_tag=WP8S18E04_00070
CDS	with_protein	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	8354	8767	+	WP_010672291.1	WP_010672291.1		Hsp20 family protein		70081445	H7R77_RS00035	414	137	
gene	protein_coding	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	8860	9300	+						70081446	H7R77_RS00040	441		old_locus_tag=WP8S18E04_00080
CDS	with_protein	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	8860	9300	+	WP_134997021.1	WP_134997021.1		Hsp20 family protein		70081446	H7R77_RS00040	441	146	
gene	protein_coding	GCF_014169735.1	Primary Assembly	chromosome		NZ_AP022254.1	9374	10624	-						70081447	H7R77_RS00045	1251		old_locus_tag=WP8S18E04_00090
