# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	109	1515	+					gndA		BBB57_RS00005	1407		old_locus_tag=BBB57_00005
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	109	1515	+	WP_065368093.1	WP_065368093.1		NADP-dependent phosphogluconate dehydrogenase	gndA		BBB57_RS00005	1407	468	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	1783	2949	+					ugd		BBB57_RS00010	1167		old_locus_tag=BBB57_00010
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	1783	2949	+	WP_017458461.1	WP_017458461.1		UDP-glucose 6-dehydrogenase	ugd		BBB57_RS00010	1167	388	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	3166	4170	-							BBB57_RS00015	1005		old_locus_tag=BBB57_00015
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	3166	4170	-	WP_065368094.1	WP_065368094.1		NAD-dependent epimerase			BBB57_RS00015	1005	334	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	4305	4916	-					hisIE		BBB57_RS00020	612		old_locus_tag=BBB57_00020
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	4305	4916	-	WP_065368095.1	WP_065368095.1		bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE	hisIE		BBB57_RS00020	612	203	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	4910	5686	-					hisF		BBB57_RS00025	777		old_locus_tag=BBB57_00025
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	4910	5686	-	WP_065368096.1	WP_065368096.1		imidazole glycerol phosphate synthase subunit HisF	hisF		BBB57_RS00025	777	258	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	5668	6405	-					hisA		BBB57_RS00030	738		old_locus_tag=BBB57_00030
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	5668	6405	-	WP_065368097.1	WP_065368097.1		1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	hisA		BBB57_RS00030	738	245	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	6405	6995	-					hisH		BBB57_RS00035	591		old_locus_tag=BBB57_00035
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	6405	6995	-	WP_065368098.1	WP_065368098.1		imidazole glycerol phosphate synthase subunit HisH	hisH		BBB57_RS00035	591	196	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	6995	8062	-					hisB		BBB57_RS00040	1068		old_locus_tag=BBB57_00040
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	6995	8062	-	WP_065368099.1	WP_065368099.1		bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB	hisB		BBB57_RS00040	1068	355	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	8059	9120	-					hisC		BBB57_RS00045	1062		old_locus_tag=BBB57_00045
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	8059	9120	-	WP_065368100.1	WP_065368100.1		histidinol-phosphate transaminase	hisC		BBB57_RS00045	1062	353	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	9117	10421	-					hisD		BBB57_RS00050	1305		old_locus_tag=BBB57_00050
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	9117	10421	-	WP_065368101.1	WP_065368101.1		histidinol dehydrogenase	hisD		BBB57_RS00050	1305	434	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	10426	11325	-					hisG		BBB57_RS00055	900		old_locus_tag=BBB57_00055
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	10426	11325	-	WP_017458451.1	WP_017458451.1		ATP phosphoribosyltransferase	hisG		BBB57_RS00055	900	299	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	11459	11509	-					hisL		BBB57_RS23965	51		
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	11459	11509	-	WP_001364200.1	WP_001364200.1		his operon leader peptide	hisL		BBB57_RS23965	51	16	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	11685	12512	+							BBB57_RS00060	828		old_locus_tag=BBB57_00060
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	11685	12512	+	WP_065368102.1	WP_065368102.1		SDR family oxidoreductase			BBB57_RS00060	828	275	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	12850	14211	+							BBB57_RS00065	1362		old_locus_tag=BBB57_00065
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	12850	14211	+	WP_017458449.1	WP_017458449.1		APC family permease			BBB57_RS00065	1362	453	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	14376	15431	+							BBB57_RS00070	1056		old_locus_tag=BBB57_00070
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	14376	15431	+	WP_065368103.1	WP_065368103.1		YeeE/YedE family protein			BBB57_RS00070	1056	351	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	15447	15674	+							BBB57_RS00075	228		old_locus_tag=BBB57_00075
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	15447	15674	+	WP_020454267.1	WP_020454267.1		sulfurtransferase TusA family protein			BBB57_RS00075	228	75	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	15707	17131	-					sbcB		BBB57_RS00080	1425		old_locus_tag=BBB57_00080
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	15707	17131	-	WP_065368104.1	WP_065368104.1		exodeoxyribonuclease I	sbcB		BBB57_RS00080	1425	474	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	17342	18502	+					dacD		BBB57_RS00085	1161		old_locus_tag=BBB57_00085
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	17342	18502	+	WP_065368105.1	WP_065368105.1		serine-type D-Ala-D-Ala carboxypeptidase DacD	dacD		BBB57_RS00085	1161	386	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	18624	19097	+					sbmC		BBB57_RS00090	474		old_locus_tag=BBB57_00090
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	18624	19097	+	WP_017458444.1	WP_017458444.1		DNA gyrase inhibitor SbmC	sbmC		BBB57_RS00090	474	157	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	19224	20282	+							BBB57_RS00095	1059		old_locus_tag=BBB57_00095
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	19224	20282	+	WP_065368106.1	WP_065368106.1		FUSC family protein			BBB57_RS00095	1059	352	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	20449	20784	+							BBB57_RS00100	336		old_locus_tag=BBB57_00100
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	20449	20784	+	WP_017458442.1	WP_017458442.1		DUF496 family protein			BBB57_RS00100	336	111	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	20820	21680	-							BBB57_RS00105	861		old_locus_tag=BBB57_00105
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	20820	21680	-	WP_065368107.1	WP_065368107.1		GHMP kinase			BBB57_RS00105	861	286	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	21616	22149	-							BBB57_RS24250	534		
CDS	with_protein	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	21616	22149	-	WP_197511278.1	WP_197511278.1		hypothetical protein			BBB57_RS24250	534	177	
gene	protein_coding	GCF_001683395.1	Primary Assembly	chromosome		NZ_CP016337.1	22415	23794	+							BBB57_RS00110	1380		old_locus_tag=BBB57_00110
