start,end,score,strand
502,532,55,-
2905,2942,57,-
3313,3351,54,+
4402,4432,97,+
5347,5371,48,+
9026,9053,65,+
10803,10839,65,-
12104,12131,55,-
13320,13344,67,+
13870,13900,68,+
14423,14450,55,+
14481,14503,61,+
14869,14912,49,-
15287,15319,65,+
17753,17791,59,+
18132,18149,50,-
18499,18537,99,-
18919,18964,49,-
19400,19422,48,+
20733,20770,54,-
20854,20873,47,-
20988,21015,55,-
21546,21584,58,+
21615,21657,53,+
22895,22918,60,-
23175,23215,53,+
24881,24911,51,+
25974,25997,50,+
26737,26760,50,-
26833,26861,109,-
27269,27306,87,+
29019,29051,63,+
29216,29253,54,-
29363,29395,57,+
30573,30599,56,-
30780,30819,54,+
31065,31103,56,+
31750,31787,55,+
31830,31850,51,-
32124,32152,65,+
32348,32376,67,-
33345,33372,69,+
33830,33871,53,+
33993,34024,59,+
34909,34950,55,+
36270,36295,57,+
37015,37058,53,-
37220,37250,51,-
37732,37761,65,-
38371,38410,54,-
38971,38999,57,-
39307,39334,85,-
39395,39429,108,-
39538,39577,55,+
40558,40595,54,+
40949,40971,51,-
41472,41508,56,+
43520,43543,61,-
44812,44843,51,+
46393,46442,48,-
46710,46738,82,+
47558,47594,55,+
48548,48585,59,-
49106,49135,52,+
50758,50786,55,-
52526,52560,51,+
52731,52768,54,-
53264,53302,50,-
53432,53465,51,-
54020,54045,57,+
54155,54189,50,+
55286,55316,57,+
56709,56733,59,+
57358,57376,67,-
57860,57885,57,+
57886,57904,49,-
58530,58568,57,+
58963,58981,51,+
59393,59437,48,-
61187,61218,60,+
61941,61964,49,+
63855,63896,53,+
63970,64005,50,+
65228,65256,54,-
65349,65380,79,+
65427,65452,47,+
65562,65583,63,+
65711,65743,47,+
66214,66248,58,+
66588,66630,57,-
66809,66835,56,-
67671,67700,63,-
69001,69033,60,+
74182,74222,49,-
75598,75619,48,-
76774,76800,56,-
78067,78095,100,-
85412,85434,48,-
86245,86284,54,-
88378,88402,59,-
90200,90233,58,-
92003,92034,50,+
92276,92308,65,+
94529,94552,48,-
95414,95445,50,-
96032,96055,59,+
96246,96267,51,+
96466,96500,60,+
96691,96725,62,-
96932,96964,64,+
98195,98232,59,-
98829,98867,57,-
100025,100052,69,-
100122,100141,49,+
101510,101546,89,-
102122,102152,68,-
102181,102218,54,+
102766,102788,49,+
103680,103711,71,-
105036,105064,55,-
105311,105332,63,-
105743,105780,71,-
105882,105911,52,+
110540,110564,59,+
111925,111950,47,-
115366,115399,75,+
117383,117415,67,+
119751,119794,55,+
120532,120565,59,+
120906,120943,59,-
121238,121262,59,-
122369,122390,51,-
123053,123071,49,-
123299,123337,55,-
124474,124507,59,-
125459,125491,61,-
125741,125776,60,+
125975,125997,61,+
126111,126147,56,-
127711,127742,59,+
128234,128266,65,-
128632,128649,69,+
129636,129663,68,-
129801,129840,55,+
129933,129955,51,+
130231,130262,54,+
130476,130511,56,+
131452,131488,52,-
131971,132001,54,+
132956,132989,105,+
134256,134271,72,+
135249,135265,53,+
136289,136320,64,+
136595,136630,50,+
137884,137928,63,+
139975,140019,50,-
140055,140095,69,+
140581,140608,66,+
141187,141232,50,+
142443,142478,47,-
142714,142743,61,+
143622,143646,48,+
144516,144550,59,+
145329,145367,62,+
145995,146016,51,+
147157,147189,82,-
147547,147571,48,+
150518,150535,69,-
150823,150841,51,+
151324,151354,66,-
151871,151899,54,+
152875,152892,50,+
153222,153250,54,+
153436,153452,52,+
155841,155868,72,+
156038,156055,52,-
156115,156130,53,+
157561,157600,59,+
158617,158637,64,+
159255,159297,69,+
159382,159412,107,+
159673,159706,62,+
162326,162346,64,+
163384,163404,47,+
164781,164815,62,-
167874,167916,67,+
168391,168434,54,-
169746,169763,52,+
170031,170055,69,+
170227,170256,52,-
170327,170349,51,-
170558,170586,88,+
170662,170696,78,+
171117,171135,49,-
171346,171369,60,+
171451,171475,59,+
171811,171849,74,-
172152,172185,80,+
172199,172224,72,+
172411,172450,53,+
172531,172568,100,+
172858,172882,59,+
172889,172916,60,+
173044,173082,73,+
174159,174190,50,+
174767,174790,60,+
179710,179746,48,-
181051,181071,64,+
182657,182690,51,+
182936,182960,59,-
183710,183732,49,+
188660,188679,47,+
189190,189227,86,-
192452,192480,60,+
196211,196241,66,+
196331,196350,51,+
196366,196388,51,+
196657,196686,96,+
197470,197500,60,+
197968,198001,58,+
199218,199245,55,+
200511,200537,67,+
201352,201388,48,+
202783,202817,55,+
203146,203195,88,+
205946,205986,53,-
206164,206184,47,+
206331,206372,55,-
206538,206558,51,+
207539,207577,58,+
207614,207638,71,+
208183,208201,51,+
208293,208327,56,+
208349,208385,75,+
208955,208985,60,-
209201,209223,62,-
209998,210041,49,-
210627,210646,47,+
211036,211057,53,+
212024,212057,48,-
214713,214741,65,+
215073,215092,47,+
216010,216045,57,+
218046,218079,47,+
218376,218403,64,-
218589,218624,58,+
218946,218968,49,+
219097,219128,64,-
220359,220384,60,-
226776,226799,60,+
227376,227407,62,+
227670,227691,63,+
227809,227842,50,+
229636,229674,73,+
230774,230819,81,-
231875,231893,51,+
233220,233248,61,+
233287,233319,49,-
233476,233521,53,-
233639,233662,50,+
235837,235856,49,-
237709,237754,63,+
237952,237992,51,-
238507,238535,53,+
239031,239074,52,+
240014,240047,51,+
241418,241437,51,-
241775,241812,58,-
246237,246266,52,+
247203,247233,57,+
248322,248341,51,+
248482,248513,48,+
248683,248715,49,+
248964,248991,100,+
249168,249197,52,+
249592,249622,52,+
249981,250003,62,-
250119,250140,63,+
250367,250398,82,+
250445,250469,69,+
250514,250544,83,+
255279,255295,52,+
255797,255825,52,-
256250,256280,49,+
257283,257302,51,-
259600,259628,54,+
261792,261816,58,-
262046,262086,52,+
262106,262130,59,+
262289,262316,55,+
262518,262551,59,-
262693,262714,49,-
263209,263231,61,+
263401,263426,47,-
263591,263620,58,+
264707,264736,80,-
264852,264895,53,+
265335,265358,60,+
266180,266209,65,+
266269,266305,58,+
266382,266419,53,-
266576,266615,54,+
266738,266772,55,-
266786,266814,68,+
267473,267501,66,+
267724,267755,50,-
269274,269308,65,+
269426,269451,47,+
270235,270278,49,+
271201,271232,68,+
271909,271940,65,+
274054,274074,47,+
274121,274149,61,+
274319,274352,62,-
276086,276111,56,+
276174,276204,85,-
276376,276393,50,-
276541,276578,55,+
278555,278582,72,-
278795,278829,60,-
279406,279443,56,-
280272,280297,86,+
282968,282993,57,+
283457,283490,68,+
283482,283514,49,-
284018,284058,93,+
285038,285066,53,-
285406,285424,50,+
286010,286051,49,+
288067,288086,51,-
288394,288437,52,+
290894,290928,51,+
291039,291083,48,+
291866,291907,52,+
292191,292210,49,-
292312,292343,64,+
292644,292680,48,+
293643,293674,50,-
293796,293831,48,-
295291,295325,50,-
295329,295353,48,+
295961,295982,48,+
296520,296547,90,+
296992,297030,69,-
297789,297828,53,-
298023,298064,49,+
301851,301877,70,+
302484,302531,48,+
303166,303197,52,+
304295,304327,49,-
304742,304761,47,+
305696,305720,59,-
305847,305881,62,-
306184,306214,51,+
306360,306383,59,+
306536,306554,50,+
307023,307065,68,+
307387,307422,57,+
307845,307868,60,-
308251,308287,61,-
308428,308457,52,-
309424,309456,65,+
310193,310235,54,+
310439,310466,83,-
311849,311871,48,-
313442,313462,48,-
313563,313589,56,-
315820,315841,49,+
318004,318034,57,+
318902,318927,58,-
319363,319397,62,-
320196,320240,49,+
320353,320384,51,+
322498,322530,62,-
322729,322764,55,-
323883,323918,52,+
324633,324652,47,-
327172,327206,65,+
327432,327466,48,+
327964,328007,52,+
328397,328436,57,+
328685,328711,56,-
329089,329108,49,-
329978,330011,80,+
330403,330425,61,+
331872,331901,68,+
332433,332457,60,+
332674,332693,52,+
332951,332986,72,+
333088,333109,63,+
334191,334220,52,-
335967,335989,49,+
336256,336284,80,-
339817,339845,60,+
342294,342317,48,+
345670,345693,60,-
346222,346259,55,+
348329,348353,48,+
348489,348528,53,+
349433,349473,57,-
349511,349530,47,+
351118,351148,51,+
351244,351275,62,+
352050,352078,54,-
353115,353142,55,+
353873,353895,61,+
354447,354480,62,+
354699,354724,66,+
354998,355029,67,+
355743,355765,49,-
356680,356712,59,+
357017,357040,60,-
357373,357399,56,+
357960,358006,49,-
358758,358778,47,+
359690,359732,53,+
359737,359758,49,-
362164,362186,61,-
362193,362232,53,-
362547,362568,48,-
362656,362690,67,+
362787,362834,50,+
363093,363133,53,-
363517,363553,58,+
364207,364226,47,-
366396,366418,61,+
367146,367182,58,+
367551,367582,60,+
367658,367682,71,+
368008,368044,57,+
368024,368055,49,-
369757,369780,48,+
371492,371535,50,-
372157,372191,58,+
372205,372229,48,+
372410,372443,48,-
372445,372481,58,+
372941,372962,63,-
374763,374789,71,+
375093,375130,57,+
377469,377497,88,+
377865,377894,58,+
378946,378976,65,-
379492,379521,68,-
385359,385389,51,-
385854,385877,69,-
386304,386331,55,-
386398,386414,70,+
387493,387530,56,+
388796,388827,50,+
389440,389474,59,-
389860,389883,48,-
390021,390049,54,+
390531,390561,51,+
391586,391616,83,+
391971,392004,51,+
392160,392205,50,+
392398,392431,64,+
393412,393432,51,+
393755,393790,57,-
393859,393889,49,+
395917,395954,61,+
396072,396103,62,-
398937,398956,47,+
399936,399978,69,-
401480,401506,56,+
402643,402669,56,+
404238,404271,55,-
404764,404803,54,+
405200,405228,63,-
406121,406148,55,-
407443,407473,61,+
407480,407508,54,+
408157,408182,57,-
409081,409109,54,+
409670,409688,49,+
