start,end,score,strand
19808,19827,49,-
26411,26432,52,-
28495,28532,55,+
38127,38147,48,+
62055,62074,47,+
63500,63543,52,-
69898,69933,52,+
76436,76462,67,+
85325,85359,56,-
89772,89807,62,+
97565,97611,48,+
100145,100166,63,+
103746,103768,61,+
115570,115596,66,+
123609,123652,68,-
124514,124551,47,+
141716,141739,50,+
155953,155975,49,-
159114,159134,64,+
168605,168629,59,+
169242,169283,57,-
175981,176022,50,+
192297,192336,50,+
193851,193887,54,+
202191,202225,47,-
205970,206007,55,-
223730,223750,47,+
228617,228657,68,-
230598,230617,49,+
242377,242410,48,-
254485,254516,79,+
259538,259576,49,-
260216,260240,58,-
269717,269759,53,+
278022,278055,55,+
296476,296520,49,+
298006,298027,63,+
340121,340141,51,+
348652,348685,67,+
353978,354011,64,+
355915,355934,49,+
372076,372125,81,-
376261,376288,65,+
395213,395249,62,+
397545,397564,66,+
408228,408247,47,-
413334,413373,50,+
430345,430373,53,-
430748,430770,61,-
433253,433274,63,+
434140,434172,56,+
435868,435904,55,-
437335,437374,53,+
442346,442372,56,+
445732,445765,50,+
447911,447938,55,-
448330,448355,47,+
472028,472056,54,+
481912,481947,47,+
486715,486733,67,+
488048,488089,52,-
496409,496434,57,+
509087,509108,51,+
522341,522374,48,+
526309,526332,49,+
529172,529217,47,+
533200,533224,48,-
535603,535622,47,-
537569,537609,58,+
544640,544684,49,+
558129,558151,48,-
580570,580589,49,+
585056,585077,63,+
586454,586492,57,+
587543,587563,47,+
593118,593155,47,-
597819,597838,49,-
607700,607735,91,+
607837,607874,56,+
612974,613001,55,-
617847,617883,59,-
619972,619992,64,+
630444,630469,47,+
632453,632488,48,+
645771,645791,47,-
646664,646690,66,+
647510,647554,47,+
653848,653869,48,+
654769,654785,70,-
659049,659095,47,+
662605,662625,64,+
667610,667626,53,+
672607,672649,50,-
678258,678284,56,+
679469,679504,62,+
696184,696218,50,-
698005,698024,49,+
698919,698960,52,+
703868,703903,47,+
706661,706690,52,+
712055,712089,74,+
718216,718234,67,+
721982,722024,53,+
722264,722303,50,+
728226,728247,49,+
728727,728755,55,+
736599,736622,60,-
754988,755006,50,+
771362,771387,58,+
779206,779235,57,+
779559,779590,50,-
829171,829191,49,+
836261,836279,67,+
845309,845329,49,+
849249,849283,63,+
860141,860181,54,-
