start,end,score,strand
5020,5059,54,+
24200,24217,50,+
55471,55490,47,-
77697,77718,51,-
98561,98596,62,-
100549,100576,55,+
101369,101412,52,+
110022,110058,61,-
130386,130427,49,+
130471,130497,83,+
146165,146200,50,+
157509,157545,61,+
159621,159661,87,+
200412,200432,47,+
200759,200777,49,+
216950,216972,48,+
246067,246089,61,+
253324,253355,52,+
259653,259674,48,-
271756,271776,64,+
276580,276602,64,-
276937,276958,49,-
283291,283326,50,+
283942,283975,47,-
286268,286299,51,-
296909,296940,50,+
358067,358090,48,-
363092,363119,55,-
368196,368229,52,-
419651,419671,64,+
423690,423707,50,+
437732,437752,64,-
437799,437827,53,+
439044,439067,50,+
446061,446094,61,-
471501,471518,50,+
481932,481967,48,+
506602,506623,48,+
514132,514154,48,+
518395,518427,59,-
530010,530040,51,+
572929,572968,50,-
587314,587349,48,-
600834,600874,58,+
611156,611191,59,+
622317,622354,57,-
650423,650459,71,+
657136,657172,48,+
686150,686188,53,-
694473,694500,55,+
729150,729180,68,+
757000,757018,50,+
757040,757062,70,+
759958,759996,57,+
761646,761687,55,+
763275,763304,54,+
775923,775951,66,+
785151,785189,55,-
788994,789022,52,-
800333,800374,53,+
803896,803925,52,+
821701,821720,47,+
826521,826560,55,+
918448,918469,51,+
944039,944060,48,+
966864,966895,52,+
970846,970878,52,-
971543,971567,58,-
973342,973361,49,-
983638,983676,58,+
995219,995264,48,-
1002844,1002875,65,+
1004538,1004567,52,+
1006823,1006844,49,+
1030241,1030280,54,+
1045682,1045706,48,+
1053626,1053661,60,+
1053684,1053708,48,+
1054265,1054284,66,+
1062607,1062638,50,+
1066359,1066399,53,+
1088886,1088909,61,+
1089118,1089150,49,+
1095090,1095114,59,+
1106398,1106430,76,+
1130996,1131026,57,-
1147323,1147360,55,+
1160298,1160328,52,+
1176159,1176192,52,+
1176276,1176309,52,+
1176541,1176587,47,-
1180311,1180336,56,+
1183510,1183535,57,+
1196333,1196357,48,+
1202908,1202950,48,+
1222194,1222226,75,+
1248928,1248959,50,+
1266291,1266319,52,+
1276240,1276269,54,+
1299028,1299050,48,-
1306649,1306684,59,+
1311873,1311898,47,+
1318025,1318048,59,+
1319574,1319598,48,-
1355288,1355333,50,+
1363356,1363379,60,+
1376653,1376702,47,+
1376826,1376848,61,+
1389683,1389715,57,+
1389781,1389820,57,+
1417428,1417455,65,+
1418003,1418024,49,+
1428329,1428357,61,+
1428730,1428761,52,-
1429560,1429593,48,+
1442480,1442521,53,-
1459686,1459704,49,+
1501677,1501697,51,+
1504125,1504149,59,+
1515774,1515800,60,+
1528535,1528561,56,+
1531009,1531040,59,+
1535683,1535707,60,+
1549492,1549513,49,-
1556432,1556452,52,+
1592875,1592910,52,+
1602204,1602223,47,-
1604626,1604658,50,-
1606278,1606324,47,-
1663664,1663703,51,+
1674966,1675013,50,+
1685159,1685178,66,+
1687057,1687076,47,+
1698330,1698374,48,+
1734094,1734127,75,+
1765534,1765569,60,+
1766294,1766329,50,+
1782141,1782163,61,+
1794137,1794167,51,-
1799689,1799707,49,+
1809885,1809910,57,+
1817342,1817361,52,+
1819072,1819118,48,-
1821161,1821186,57,+
1847893,1847923,49,-
1863168,1863188,49,+
1867007,1867041,55,+
1867915,1867939,48,+
1870267,1870291,48,+
1901179,1901214,60,-
1910493,1910521,68,+
1912388,1912411,50,+
1915418,1915449,65,+
1920633,1920669,62,+
1920687,1920714,57,+
1926689,1926705,53,-
1932307,1932325,67,+
1937690,1937712,49,+
1971204,1971221,52,+
2003325,2003360,59,+
2010047,2010089,54,-
2024381,2024423,52,+
2048179,2048215,61,+
2070891,2070926,54,+
2089453,2089489,48,+
2116391,2116420,65,-
2116840,2116877,58,-
2117916,2117955,53,-
2126274,2126307,52,+
2162504,2162521,52,+
2165179,2165225,64,-
