start,end,score,strand
4344,4374,49,+
7797,7822,57,+
17398,17423,47,+
18727,18749,48,+
26005,26023,49,+
34286,34313,72,+
34760,34789,68,+
48099,48129,51,+
63531,63553,61,+
77162,77185,63,+
78018,78056,54,+
86795,86816,48,+
95397,95415,51,+
95832,95854,51,+
101618,101652,74,+
101697,101737,51,+
102640,102676,58,+
103891,103922,65,+
104061,104086,57,+
114124,114153,57,+
122783,122802,47,+
136312,136341,52,+
147624,147650,63,+
153035,153061,64,+
153163,153191,69,+
153855,153901,52,-
156918,156939,48,+
179994,180019,47,+
191784,191824,58,+
205812,205841,52,+
210929,210948,49,-
215517,215555,55,-
222758,222789,55,+
223627,223647,47,+
238529,238562,56,-
247649,247693,52,+
277617,277633,70,-
280035,280068,59,+
281001,281048,47,+
281934,281967,59,+
294420,294464,52,+
318008,318034,56,+
319089,319121,58,-
333409,333443,62,+
339757,339785,71,+
357577,357612,75,+
379853,379882,52,+
380981,381011,68,+
381723,381746,60,-
381799,381837,59,+
384357,384392,47,+
420308,420341,60,+
420611,420627,52,+
422682,422722,49,-
432047,432084,55,+
432925,432963,56,+
469459,469501,51,+
472301,472334,79,-
489276,489311,55,+
493672,493698,70,+
498621,498654,56,+
500529,500566,54,+
502226,502245,49,-
502523,502558,61,-
502784,502802,50,+
506983,507021,59,+
509059,509098,53,+
524835,524875,49,+
525734,525773,55,+
532442,532468,56,+
540643,540680,50,-
541794,541813,52,+
544246,544275,51,+
547670,547689,49,+
551721,551746,57,+
560220,560248,55,+
563466,563488,61,+
580924,580953,52,+
586255,586280,57,-
591626,591664,69,+
591815,591852,47,+
606687,606716,52,+
619568,619594,70,+
624370,624389,49,+
625301,625332,48,+
631340,631360,52,-
664748,664766,49,+
692069,692108,55,-
702342,702375,51,+
703342,703368,83,-
704534,704567,51,+
747707,747733,58,-
766559,766594,55,-
769584,769610,56,+
771858,771883,57,+
787432,787455,60,+
787776,787801,47,+
788629,788663,59,+
789186,789230,97,+
791841,791870,65,+
793989,794019,57,+
821004,821029,47,-
824695,824724,52,-
827248,827281,51,+
830033,830077,53,-
833790,833809,47,-
834542,834561,47,+
836893,836919,56,+
839447,839483,76,+
841787,841808,49,-
849656,849675,49,+
856430,856456,69,+
858641,858690,48,+
868696,868735,54,+
898216,898241,66,+
906777,906810,59,+
919682,919726,49,+
927338,927358,64,+
932345,932375,51,+
935167,935186,49,-
940601,940620,49,+
943283,943313,60,+
946320,946346,69,+
950338,950357,51,-
952832,952862,51,-
955487,955519,52,+
972230,972265,60,+
976668,976704,59,+
979196,979238,50,+
984907,984952,50,+
1006593,1006612,51,+
1012858,1012886,54,+
1020708,1020741,50,+
1022715,1022753,53,+
1031683,1031718,47,+
1036624,1036654,59,+
1050000,1050042,47,+
1060110,1060133,48,+
1079479,1079509,65,+
1105210,1105244,47,-
1116070,1116091,62,+
1143514,1143531,50,+
1156342,1156375,47,+
1159017,1159050,47,+
1167625,1167658,60,+
1189191,1189228,58,-
1196496,1196514,49,+
1228885,1228926,48,+
1230602,1230626,59,+
1233849,1233880,63,-
1246267,1246307,52,+
1260397,1260423,56,-
1276007,1276041,63,+
1283613,1283641,54,+
1284839,1284872,56,+
1289428,1289463,61,+
1308811,1308856,50,+
1348745,1348779,59,+
1363356,1363384,69,-
1370890,1370926,48,+
1401809,1401830,53,-
1412408,1412449,49,+
1414964,1414987,49,+
1423073,1423100,67,+
