# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	137	1528	+					dnaA	67474561	K6L24_RS00005	1392		old_locus_tag=K6L24_00005
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	137	1528	+	WP_062744139.1	WP_062744139.1		chromosomal replication initiator protein DnaA	dnaA	67474561	K6L24_RS00005	1392	463	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	1531	2631	+					dnaN	67474562	K6L24_RS00010	1101		old_locus_tag=K6L24_00010
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	1531	2631	+	WP_062744082.1	WP_062744082.1		DNA polymerase III subunit beta	dnaN	67474562	K6L24_RS00010	1101	366	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	2819	3904	+					recF	67474563	K6L24_RS00015	1086		old_locus_tag=K6L24_00015
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	2819	3904	+	WP_062744081.1	WP_062744081.1		DNA replication/repair protein RecF	recF	67474563	K6L24_RS00015	1086	361	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	3922	6330	+					gyrB	67474564	K6L24_RS00020	2409		old_locus_tag=K6L24_00020
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	3922	6330	+	WP_062744080.1	WP_062744080.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	67474564	K6L24_RS00020	2409	802	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	6507	7709	+						67474565	K6L24_RS00025	1203		old_locus_tag=K6L24_00025
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	6507	7709	+	WP_137268973.1	WP_137268973.1		PfkB family carbohydrate kinase		67474565	K6L24_RS00025	1203	400	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	7754	8677	+						67474566	K6L24_RS00030	924		old_locus_tag=K6L24_00030
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	7754	8677	+	WP_062744078.1	WP_062744078.1		dihydrodipicolinate synthase family protein		67474566	K6L24_RS00030	924	307	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	8782	9273	+						67474567	K6L24_RS00035	492		old_locus_tag=K6L24_00035
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	8782	9273	+	WP_222681818.1	WP_222681818.1		YhcH/YjgK/YiaL family protein		67474567	K6L24_RS00035	492	163	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	9270	10571	+						67474568	K6L24_RS00040	1302		old_locus_tag=K6L24_00040
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	9270	10571	+	WP_222681819.1	WP_222681819.1		MFS transporter		67474568	K6L24_RS00040	1302	433	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	10666	11475	+					yidA	67474569	K6L24_RS00045	810		old_locus_tag=K6L24_00045
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	10666	11475	+	WP_062744075.1	WP_062744075.1		sugar-phosphatase	yidA	67474569	K6L24_RS00045	810	269	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	11560	12828	+						67474570	K6L24_RS00050	1269		old_locus_tag=K6L24_00050
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	11560	12828	+	WP_222681820.1	WP_222681820.1		DUF3748 domain-containing protein		67474570	K6L24_RS00050	1269	422	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	12809	13171	-						67474571	K6L24_RS00055	363		old_locus_tag=K6L24_00055
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	12809	13171	-	WP_062744138.1	WP_062744138.1		YceK/YidQ family lipoprotein		67474571	K6L24_RS00055	363	120	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	13467	13889	+					ibpA	67474572	K6L24_RS00060	423		old_locus_tag=K6L24_00060
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	13467	13889	+	WP_062744073.1	WP_062744073.1		heat shock chaperone IbpA	ibpA	67474572	K6L24_RS00060	423	140	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	13930	15183	-						67474573	K6L24_RS00065	1254		old_locus_tag=K6L24_00065
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	13930	15183	-	WP_062744072.1	WP_062744072.1		valine--pyruvate transaminase		67474573	K6L24_RS00065	1254	417	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	15546	16754	+						67474574	K6L24_RS00070	1209		old_locus_tag=K6L24_00070
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	15546	16754	+	WP_222681821.1	WP_222681821.1		aldose 1-epimerase family protein		67474574	K6L24_RS00070	1209	402	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	16854	17819	-					ghrB	67474575	K6L24_RS00075	966		old_locus_tag=K6L24_00075
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	16854	17819	-	WP_222681822.1	WP_222681822.1		glyoxylate/hydroxypyruvate reductase GhrB	ghrB	67474575	K6L24_RS00075	966	321	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	17904	19190	-						67474576	K6L24_RS00080	1287		old_locus_tag=K6L24_00080
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	17904	19190	-	WP_062744069.1	WP_062744069.1		MFS transporter		67474576	K6L24_RS00080	1287	428	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	19264	20217	-						67474577	K6L24_RS00085	954		old_locus_tag=K6L24_00085
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	19264	20217	-	WP_062744068.1	WP_062744068.1		sugar kinase		67474577	K6L24_RS00085	954	317	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	20221	20970	-						67474578	K6L24_RS00090	750		old_locus_tag=K6L24_00090
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	20221	20970	-	WP_062744067.1	WP_062744067.1		hypothetical protein		67474578	K6L24_RS00090	750	249	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	21172	22200	-						67474579	K6L24_RS00095	1029		old_locus_tag=K6L24_00095
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	21172	22200	-	WP_062744066.1	WP_062744066.1		LacI family DNA-binding transcriptional regulator		67474579	K6L24_RS00095	1029	342	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	22260	23246	-						67474580	K6L24_RS00100	987		old_locus_tag=K6L24_00100
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	22260	23246	-	WP_062744065.1	WP_062744065.1		LacI family transcriptional regulator		67474580	K6L24_RS00100	987	328	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	23372	24031	-						67474581	K6L24_RS00105	660		old_locus_tag=K6L24_00105
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	23372	24031	-	WP_062744064.1	WP_062744064.1		OmpA family lipoprotein		67474581	K6L24_RS00105	660	219	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	24145	24708	-					tag	67474582	K6L24_RS00110	564		old_locus_tag=K6L24_00110
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	24145	24708	-	WP_062744063.1	WP_062744063.1		DNA-3-methyladenine glycosylase I	tag	67474582	K6L24_RS00110	564	187	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	24784	26622	-					selB	67474583	K6L24_RS00115	1839		old_locus_tag=K6L24_00115
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	24784	26622	-	WP_062744062.1	WP_062744062.1		selenocysteine-specific translation elongation factor	selB	67474583	K6L24_RS00115	1839	612	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	26619	28010	-					selA	67474584	K6L24_RS00120	1392		old_locus_tag=K6L24_00120
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	26619	28010	-	WP_137268967.1	WP_137268967.1		L-seryl-tRNA(Sec) selenium transferase	selA	67474584	K6L24_RS00120	1392	463	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	28007	28618	-						67474585	K6L24_RS00125	612		old_locus_tag=K6L24_00125
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	28007	28618	-	WP_062744060.1	WP_062744060.1		glutathione S-transferase		67474585	K6L24_RS00125	612	203	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	28622	29548	-					fdhE	67474586	K6L24_RS00130	927		old_locus_tag=K6L24_00130
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	28622	29548	-	WP_062744059.1	WP_062744059.1		formate dehydrogenase accessory protein FdhE	fdhE	67474586	K6L24_RS00130	927	308	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	29548	30198	-					fdoI	67474587	K6L24_RS00135	651		old_locus_tag=K6L24_00135
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	29548	30198	-	WP_062744058.1	WP_062744058.1		formate dehydrogenase cytochrome b556 subunit	fdoI	67474587	K6L24_RS00135	651	216	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	30195	31079	-					fdxH	67474588	K6L24_RS00140	885		old_locus_tag=K6L24_00140
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	30195	31079	-	WP_222681823.1	WP_222681823.1		formate dehydrogenase subunit beta	fdxH	67474588	K6L24_RS00140	885	294	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	31083	34130	-					fdnG	67474589	K6L24_RS00145	3048		old_locus_tag=K6L24_00145
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	31083	34130	-	WP_222681824.1	WP_222681824.1		formate dehydrogenase-N subunit alpha	fdnG	67474589	K6L24_RS00145	3048	1015	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	34306	35097	+					fdhD	67474590	K6L24_RS00150	792		old_locus_tag=K6L24_00150
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	34306	35097	+	WP_245006743.1	WP_245006743.1		formate dehydrogenase accessory sulfurtransferase FdhD	fdhD	67474590	K6L24_RS00150	792	263	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	35094	35870	-						67474591	K6L24_RS00155	777		old_locus_tag=K6L24_00155
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	35094	35870	-	WP_118665161.1	WP_118665161.1		DeoR/GlpR family DNA-binding transcription regulator		67474591	K6L24_RS00155	777	258	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	36050	37390	+						67474592	K6L24_RS00160	1341		old_locus_tag=K6L24_00160
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	36050	37390	+	WP_222681825.1	WP_222681825.1		aspartate aminotransferase family protein		67474592	K6L24_RS00160	1341	446	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	37653	38270	+					sodA	67474593	K6L24_RS00165	618		old_locus_tag=K6L24_00165
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	37653	38270	+	WP_062744050.1	WP_062744050.1		superoxide dismutase [Mn]	sodA	67474593	K6L24_RS00165	618	205	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	38602	40107	+						67474594	K6L24_RS00170	1506		old_locus_tag=K6L24_00170
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	38602	40107	+	WP_222681826.1	WP_222681826.1		sugar ABC transporter ATP-binding protein		67474594	K6L24_RS00170	1506	501	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	40104	41108	+						67474595	K6L24_RS00175	1005		old_locus_tag=K6L24_00175
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	40104	41108	+	WP_062744048.1	WP_062744048.1		ABC transporter permease		67474595	K6L24_RS00175	1005	334	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	41130	42197	+						67474596	K6L24_RS00180	1068		old_locus_tag=K6L24_00180
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	41130	42197	+	WP_118665165.1	WP_118665165.1		sugar ABC transporter substrate-binding protein		67474596	K6L24_RS00180	1068	355	
gene	protein_coding	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	42264	42572	-						67474597	K6L24_RS00185	309		old_locus_tag=K6L24_00185
CDS	with_protein	GCF_019844095.1	Primary Assembly	chromosome		NZ_CP082141.1	42264	42572	-	WP_162900999.1	WP_162900999.1		FidL-like protein		67474597	K6L24_RS00185	309	102	
