# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002846995.1	Primary Assembly	chromosome		NZ_CP017454.1	4918744	118	-						66641032	BJJ98_RS00005	225		old_locus_tag=BJJ98_00005
CDS	with_protein	GCF_002846995.1	Primary Assembly	chromosome		NZ_CP017454.1	4918744	118	-	WP_022633825.1	WP_022633825.1		TraR/DksA family transcriptional regulator		66641032	BJJ98_RS00005	225	74	
gene	protein_coding	GCF_002846995.1	Primary Assembly	chromosome		NZ_CP017454.1	118	333	-						66641033	BJJ98_RS00010	216		old_locus_tag=BJJ98_00010
CDS	with_protein	GCF_002846995.1	Primary Assembly	chromosome		NZ_CP017454.1	118	333	-	WP_022633824.1	WP_022633824.1		DUF2732 family protein		66641033	BJJ98_RS00010	216	71	
gene	protein_coding	GCF_002846995.1	Primary Assembly	chromosome		NZ_CP017454.1	450	980	-						66641034	BJJ98_RS00015	531		old_locus_tag=BJJ98_00015
CDS	with_protein	GCF_002846995.1	Primary Assembly	chromosome		NZ_CP017454.1	450	980	-	WP_022633823.1	WP_022633823.1		hypothetical protein		66641034	BJJ98_RS00015	531	176	
gene	protein_coding	GCF_002846995.1	Primary Assembly	chromosome		NZ_CP017454.1	977	1447	-						66645304	BJJ98_RS21885	471		
CDS	with_protein	GCF_002846995.1	Primary Assembly	chromosome		NZ_CP017454.1	977	1447	-	WP_146053350.1	WP_146053350.1		hypothetical protein		66645304	BJJ98_RS21885	471	156	
gene	protein_coding	GCF_002846995.1	Primary Assembly	chromosome		NZ_CP017454.1	1602	2414	+						66641035	BJJ98_RS00020	813		old_locus_tag=BJJ98_00020
CDS	with_protein	GCF_002846995.1	Primary Assembly	chromosome		NZ_CP017454.1	1602	2414	+	WP_174254529.1	WP_174254529.1		helix-turn-helix domain-containing protein		66641035	BJJ98_RS00020	813	270	
gene	protein_coding	GCF_002846995.1	Primary Assembly	chromosome		NZ_CP017454.1	3009	5000	+						66641036	BJJ98_RS00025	1992		old_locus_tag=BJJ98_00025
CDS	with_protein	GCF_002846995.1	Primary Assembly	chromosome		NZ_CP017454.1	3009	5000	+	WP_023637851.1	WP_023637851.1		methyl-accepting chemotaxis protein		66641036	BJJ98_RS00025	1992	663	
gene	protein_coding	GCF_002846995.1	Primary Assembly	chromosome		NZ_CP017454.1	5135	5326	-						66641037	BJJ98_RS00030	192		old_locus_tag=BJJ98_00030
