# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	12	461	-					mioC		IP581_RS00005	450		old_locus_tag=IP581_00005
CDS	with_protein	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	12	461	-	WP_193821486.1	WP_193821486.1		FMN-binding protein MioC	mioC		IP581_RS00005	450	149	
gene	protein_coding	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	580	1038	-					asnC		IP581_RS00010	459		old_locus_tag=IP581_00010
CDS	with_protein	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	580	1038	-	WP_007369362.1	WP_007369362.1		transcriptional regulator AsnC	asnC		IP581_RS00010	459	152	
gene	protein_coding	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	1189	2181	+					asnA		IP581_RS00015	993		old_locus_tag=IP581_00015
CDS	with_protein	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	1189	2181	+	WP_086872179.1	WP_086872179.1		aspartate--ammonia ligase	asnA		IP581_RS00015	993	330	
gene	protein_coding	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	2178	3629	-					viaA		IP581_RS00020	1452		old_locus_tag=IP581_00020
CDS	with_protein	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	2178	3629	-	WP_086872177.1	WP_086872177.1		ATPase RavA stimulator ViaA	viaA		IP581_RS00020	1452	483	
gene	protein_coding	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	3623	5122	-					ravA		IP581_RS00025	1500		old_locus_tag=IP581_00025
CDS	with_protein	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	3623	5122	-	WP_193821487.1	WP_193821487.1		ATPase RavA	ravA		IP581_RS00025	1500	499	
gene	protein_coding	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	5346	7214	+					kup		IP581_RS00030	1869		old_locus_tag=IP581_00030
CDS	with_protein	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	5346	7214	+	WP_086872173.1	WP_086872173.1		low affinity potassium transporter Kup	kup		IP581_RS00030	1869	622	
gene	protein_coding	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	7420	7839	+					rbsD		IP581_RS00035	420		old_locus_tag=IP581_00035
CDS	with_protein	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	7420	7839	+	WP_193821488.1	WP_193821488.1		D-ribose pyranase	rbsD		IP581_RS00035	420	139	
gene	protein_coding	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	7847	9352	+					rbsA		IP581_RS00040	1506		old_locus_tag=IP581_00040
CDS	with_protein	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	7847	9352	+	WP_193821489.1	WP_193821489.1		ribose ABC transporter ATP-binding protein RbsA	rbsA		IP581_RS00040	1506	501	
gene	protein_coding	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	9358	10323	+					rbsC		IP581_RS00045	966		old_locus_tag=IP581_00045
CDS	with_protein	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	9358	10323	+	WP_086872167.1	WP_086872167.1		ribose ABC transporter permease	rbsC		IP581_RS00045	966	321	
gene	protein_coding	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	10350	11240	+					rbsB		IP581_RS00050	891		old_locus_tag=IP581_00050
CDS	with_protein	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	10350	11240	+	WP_086872165.1	WP_086872165.1		ribose ABC transporter substrate-binding protein RbsB	rbsB		IP581_RS00050	891	296	
gene	protein_coding	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	11349	12278	+					rbsK		IP581_RS00055	930		old_locus_tag=IP581_00055
CDS	with_protein	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	11349	12278	+	WP_193821490.1	WP_193821490.1		ribokinase	rbsK		IP581_RS00055	930	309	
gene	protein_coding	GCF_015167415.1	Primary Assembly	chromosome		NZ_CP063425.1	12282	13274	+					rbsR		IP581_RS00060	993		old_locus_tag=IP581_00060
