# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	527	1987	+					dnaA		KF707C_RS00005	1461		old_locus_tag=KF707C_10
CDS	with_protein	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	527	1987	+	WP_036994635.1	WP_036994635.1		chromosomal replication initiator protein DnaA	dnaA		KF707C_RS00005	1461	486	
gene	protein_coding	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	2017	3120	+					dnaN		KF707C_RS00010	1104		old_locus_tag=KF707C_20
CDS	with_protein	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	2017	3120	+	WP_003458032.1	WP_003458032.1		DNA polymerase III subunit beta	dnaN		KF707C_RS00010	1104	367	
gene	pseudogene	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	3128	4227	+					recF		KF707C_RS00015	1100		pseudo;old_locus_tag=KF707C_30
CDS	without_protein	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	3128	4227	+				DNA replication/repair protein RecF	recF		KF707C_RS00015	1100		pseudo
gene	protein_coding	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	4231	6651	+					gyrB		KF707C_RS00020	2421		old_locus_tag=KF707C_40
CDS	with_protein	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	4231	6651	+	WP_003458036.1	WP_003458036.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		KF707C_RS00020	2421	806	
gene	protein_coding	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	8132	8323	+							KF707C_RS00025	192		old_locus_tag=KF707C_60
CDS	with_protein	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	8132	8323	+	WP_003458040.1	WP_003458040.1		hypothetical protein			KF707C_RS00025	192	63	
gene	protein_coding	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	8440	9222	-							KF707C_RS00030	783		old_locus_tag=KF707C_70
CDS	with_protein	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	8440	9222	-	WP_036994639.1	WP_036994639.1		1-acyl-sn-glycerol-3-phosphate acyltransferase			KF707C_RS00030	783	260	
gene	protein_coding	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	9237	9767	-					gmhB		KF707C_RS00035	531		old_locus_tag=KF707C_80
CDS	with_protein	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	9237	9767	-	WP_003458044.1	WP_003458044.1		D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	gmhB		KF707C_RS00035	531	176	
gene	protein_coding	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	9853	11898	-					glyS		KF707C_RS00040	2046		old_locus_tag=KF707C_90
CDS	with_protein	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	9853	11898	-	WP_003458045.1	WP_003458045.1		glycine--tRNA ligase subunit beta	glyS		KF707C_RS00040	2046	681	
gene	protein_coding	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	11895	12842	-					glyQ		KF707C_RS00045	948		old_locus_tag=KF707C_100
CDS	with_protein	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	11895	12842	-	WP_003458047.1	WP_003458047.1		glycine--tRNA ligase subunit alpha	glyQ		KF707C_RS00045	948	315	
gene	protein_coding	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	13074	13625	+							KF707C_RS00050	552		old_locus_tag=KF707C_110
CDS	with_protein	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	13074	13625	+	WP_003458049.1	WP_003458049.1		DNA-3-methyladenine glycosylase I			KF707C_RS00050	552	183	
gene	protein_coding	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	13682	14569	+							KF707C_RS00055	888		old_locus_tag=KF707C_120
CDS	with_protein	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	13682	14569	+	WP_003458051.1	WP_003458051.1		lysophospholipid acyltransferase			KF707C_RS00055	888	295	
gene	protein_coding	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	14678	14944	+							KF707C_RS00060	267		old_locus_tag=KF707C_130
CDS	with_protein	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	14678	14944	+	WP_036994641.1	WP_036994641.1		PilZ domain-containing protein			KF707C_RS00060	267	88	
gene	protein_coding	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	15036	15359	-							KF707C_RS00065	324		old_locus_tag=KF707C_140
CDS	with_protein	GCF_002355475.1	Primary Assembly	chromosome		NZ_AP014862.1	15036	15359	-	WP_003458053.1	WP_003458053.1		tetratricopeptide repeat protein			KF707C_RS00065	324	107	
