# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	1	1335	+					dnaA		LA76x_RS00005	1335		old_locus_tag=LA76x_0001
CDS	with_protein	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	1	1335	+	WP_057916043.1	WP_057916043.1		chromosomal replication initiator protein DnaA	dnaA		LA76x_RS00005	1335	444	
gene	protein_coding	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	1845	2945	+					dnaN		LA76x_RS00010	1101		old_locus_tag=LA76x_0002
CDS	with_protein	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	1845	2945	+	WP_031374042.1	WP_031374042.1		DNA polymerase III subunit beta	dnaN		LA76x_RS00010	1101	366	
gene	protein_coding	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	3081	4178	+					recF		LA76x_RS00015	1098		old_locus_tag=LA76x_0003
CDS	with_protein	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	3081	4178	+	WP_057916044.1	WP_057916044.1		DNA replication/repair protein RecF	recF		LA76x_RS00015	1098	365	
gene	protein_coding	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	4438	4605	+							LA76x_RS25545	168		
CDS	with_protein	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	4438	4605	+	WP_169795618.1	WP_169795618.1		hypothetical protein			LA76x_RS25545	168	55	
gene	protein_coding	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	4778	7246	+					gyrB		LA76x_RS00020	2469		old_locus_tag=LA76x_0004
CDS	with_protein	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	4778	7246	+	WP_057916045.1	WP_057916045.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		LA76x_RS00020	2469	822	
gene	protein_coding	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	7323	8042	+							LA76x_RS00025	720		old_locus_tag=LA76x_0005
CDS	with_protein	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	7323	8042	+	WP_057916046.1	WP_057916046.1		CPBP family intramembrane metalloprotease			LA76x_RS00025	720	239	
gene	protein_coding	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	8110	8913	+							LA76x_RS00030	804		old_locus_tag=LA76x_0006
CDS	with_protein	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	8110	8913	+	WP_057916047.1	WP_057916047.1		M48 family metallopeptidase			LA76x_RS00030	804	267	
gene	protein_coding	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	9050	10267	+							LA76x_RS00035	1218		old_locus_tag=LA76x_0007
CDS	with_protein	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	9050	10267	+	WP_057916048.1	WP_057916048.1		tetratricopeptide repeat protein			LA76x_RS00035	1218	405	
gene	protein_coding	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	10414	11094	+							LA76x_RS00040	681		old_locus_tag=LA76x_0008
CDS	with_protein	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	10414	11094	+	WP_036149770.1	WP_036149770.1		energy transducer TonB			LA76x_RS00040	681	226	
gene	protein_coding	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	11185	11934	+							LA76x_RS00045	750		old_locus_tag=LA76x_0009
CDS	with_protein	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	11185	11934	+	WP_031374035.1	WP_031374035.1		MotA/TolQ/ExbB proton channel family protein			LA76x_RS00045	750	249	
gene	protein_coding	GCF_001442745.1	Primary Assembly	chromosome		NZ_CP011129.1	11977	12390	+							LA76x_RS00050	414		old_locus_tag=LA76x_0010
