start,end,score,strand
2832,2859,55,+
3368,3405,75,+
4896,4925,52,-
9232,9278,49,+
10495,10521,61,-
16131,16160,52,+
18275,18313,53,+
19666,19691,57,+
21143,21177,65,-
21692,21718,56,+
22601,22646,48,+
26681,26701,49,+
28042,28060,50,-
31145,31178,59,+
37461,37503,55,-
37637,37678,55,-
40273,40300,53,-
42207,42231,59,+
42895,42926,59,+
44544,44562,49,+
45826,45868,95,-
46624,46652,65,+
48903,48923,64,+
49928,49944,52,+
50210,50226,70,+
51363,51392,52,+
52136,52167,55,+
56812,56850,54,+
57775,57795,47,-
62873,62892,49,+
63039,63063,48,+
63174,63207,60,+
63273,63294,63,+
74237,74268,63,+
76180,76218,58,-
76791,76835,53,-
78883,78910,58,+
80751,80786,59,+
81082,81108,83,+
81453,81488,58,+
86224,86242,49,+
89914,89943,80,+
91990,92022,76,+
93431,93456,47,-
94604,94642,54,+
95524,95567,50,+
99084,99111,100,-
99633,99670,59,-
101117,101145,60,+
101468,101501,59,+
101840,101873,67,+
102310,102337,55,-
102469,102492,63,+
102758,102775,69,-
103765,103793,54,+
105171,105198,70,+
106176,106210,58,+
106224,106257,51,+
109136,109164,68,+
109816,109854,57,+
110989,111027,50,-
119268,119308,55,+
120213,120248,47,-
120338,120374,58,-
125234,125257,49,+
127783,127813,55,+
128571,128606,50,+
129703,129729,56,-
130940,130965,56,+
130982,131011,52,+
131989,132015,60,+
133501,133546,52,-
133878,133920,70,+
134333,134363,70,-
134623,134653,59,-
136253,136283,51,-
136705,136741,56,-
136973,137019,50,+
137166,137185,49,-
139159,139196,54,-
141090,141116,56,+
143502,143522,47,-
149168,149192,60,+
149624,149652,69,+
151427,151459,49,+
151476,151502,56,-
151522,151541,49,+
151775,151798,61,+
152824,152857,74,+
153306,153331,66,+
153948,153978,51,+
154103,154134,50,+
155255,155287,57,+
155416,155449,97,+
156315,156341,56,+
156511,156547,51,-
156646,156679,47,+
158380,158413,47,+
162284,162327,52,+
163492,163521,70,+
164775,164806,84,+
165474,165516,52,+
167420,167467,47,-
167957,167983,56,-
168115,168132,50,+
168238,168283,47,+
168768,168787,47,-
169613,169645,48,+
169944,169978,51,+
171075,171111,55,+
184796,184832,56,+
190935,190959,48,-
193794,193831,55,+
198909,198939,51,+
199810,199839,66,-
201555,201573,67,+
203968,204007,55,+
204108,204131,96,-
204546,204572,56,+
204600,204629,52,+
205438,205462,59,+
205494,205523,65,+
207735,207764,51,+
209626,209648,48,-
209939,209963,71,-
211213,211246,58,-
211378,211414,61,-
212101,212129,52,-
212747,212786,53,+
213562,213584,61,+
215598,215623,57,+
215679,215699,47,+
218097,218129,49,-
218542,218569,55,+
220727,220769,52,-
223610,223653,53,-
226274,226312,53,+
226634,226656,48,+
226850,226879,63,+
227170,227190,47,-
229655,229687,49,-
249027,249057,68,+
250963,250991,60,-
251904,251926,62,-
252862,252895,62,-
253085,253109,48,-
255263,255281,51,+
255493,255529,74,+
255918,255964,50,-
256123,256152,80,+
256278,256301,60,+
257588,257606,49,+
258116,258150,56,+
258506,258539,75,-
260910,260955,65,-
261161,261191,51,+
263208,263232,58,+
263710,263728,49,+
264059,264080,53,+
264551,264578,99,+
264592,264617,47,-
265041,265057,52,+
265685,265729,54,-
268170,268211,52,+
268232,268254,51,-
270259,270301,54,+
272159,272180,63,+
272204,272226,72,-
276046,276080,62,+
276325,276356,50,-
278572,278595,60,-
279147,279189,55,+
281155,281181,58,+
281736,281769,48,-
281889,281915,55,+
284482,284507,69,+
284877,284901,48,-
287542,287569,55,-
288059,288078,66,+
288756,288781,88,+
289886,289903,50,+
291012,291056,53,-
296192,296230,58,+
296392,296413,62,+
296860,296877,52,-
298152,298170,49,+
300508,300529,53,+
317400,317434,51,-
319381,319425,48,+
320578,320609,68,+
324858,324890,78,+
329355,329384,69,-
330057,330087,67,+
330601,330624,60,-
332846,332864,67,+
337094,337117,72,+
337464,337492,54,+
337895,337930,47,-
339938,339973,58,-
340948,340983,47,-
343625,343655,65,+
344415,344437,61,+
345190,345224,67,+
345232,345251,47,+
345380,345413,51,+
345704,345740,61,+
347101,347121,47,+
349513,349534,63,+
349963,349985,48,-
350463,350495,62,+
350887,350904,52,+
351521,351554,62,+
353079,353099,48,+
355103,355134,52,+
355975,355996,63,+
356089,356114,57,+
357915,357933,50,+
358308,358337,51,+
358801,358821,47,+
359365,359382,50,+
364983,365014,66,+
365060,365102,67,+
369435,369473,57,+
374079,374119,48,-
377409,377450,70,+
378297,378332,55,-
382757,382788,50,+
383679,383709,57,+
387577,387606,60,+
390137,390166,60,-
390245,390272,55,-
390799,390817,67,-
391165,391189,58,+
392100,392119,66,-
393451,393477,56,-
394719,394753,47,+
395588,395634,52,+
396128,396156,63,-
397036,397061,67,-
397182,397201,66,+
402675,402703,63,+
406225,406258,47,+
406491,406523,62,+
408236,408266,85,+
410446,410481,72,+
410627,410653,69,+
412623,412653,51,+
415357,415385,54,+
416578,416594,52,+
419953,419977,76,+
420948,420980,49,+
421720,421739,47,+
423746,423764,49,-
424387,424405,50,+
426149,426175,66,+
430639,430658,49,+
436559,436579,47,-
436708,436739,65,+
437426,437472,47,-
438932,438970,57,-
439965,439982,50,-
440844,440878,47,+
441882,441907,57,+
442092,442120,63,+
443102,443121,51,+
443757,443796,59,-
448965,449002,58,+
449019,449035,70,+
458273,458301,54,+
460792,460826,55,+
464399,464428,62,+
465239,465264,47,+
468801,468826,71,+
469486,469515,52,+
471178,471214,47,+
474336,474359,49,-
474761,474799,59,+
477069,477106,98,+
483494,483537,49,-
484470,484497,55,+
486051,486082,50,-
487338,487370,57,+
493599,493616,52,-
494512,494540,52,-
495895,495941,50,+
505170,505202,50,-
507022,507039,69,+
508740,508782,50,+
510015,510038,60,-
510196,510229,61,-
511489,511516,55,+
511737,511761,48,+
512532,512555,48,-
512803,512831,69,+
514327,514363,52,-
515515,515538,49,+
520418,520448,65,+
525102,525138,48,+
537549,537580,50,+
541685,541710,58,-
547881,547913,50,+
547938,547973,62,+
553680,553718,56,+
556833,556863,68,+
566694,566723,52,+
568062,568094,64,+
568218,568244,55,+
568486,568511,60,+
569276,569306,65,-
569316,569346,60,+
570230,570268,54,+
572451,572471,54,-
572693,572726,48,+
572808,572839,50,-
573146,573179,64,+
573210,573231,48,+
573944,573981,52,+
575553,575593,51,-
576609,576652,53,+
577897,577929,76,-
578772,578806,62,+
579340,579386,75,+
580151,580182,50,-
582293,582310,50,+
582968,582999,48,-
583905,583924,47,+
585664,585708,67,-
585717,585755,69,-
586436,586467,55,-
586936,586973,53,+
618119,618138,66,+
625332,625362,49,-
629518,629549,55,+
630347,630372,57,-
630390,630412,61,+
632676,632712,56,+
633269,633292,60,+
633325,633342,50,+
634794,634817,60,+
636425,636461,55,+
637919,637950,54,-
638120,638159,50,-
640368,640410,49,+
640701,640732,50,+
641041,641067,55,-
641539,641569,65,+
642545,642574,65,+
643466,643482,52,+
644139,644161,61,+
646872,646910,53,+
647522,647555,59,-
648004,648032,54,-
649897,649915,50,-
650067,650099,68,-
650704,650736,51,+
652525,652559,58,-
652720,652751,65,+
652920,652953,58,+
653255,653272,52,+
653300,653327,55,-
654667,654694,55,+
654955,654991,58,+
655179,655207,60,+
655318,655351,58,+
655718,655752,55,+
655813,655853,57,+
655908,655942,58,+
656261,656279,50,+
657143,657163,47,-
657672,657705,92,+
658249,658269,47,+
658767,658801,55,-
659365,659393,53,-
661243,661279,55,+
664312,664356,81,+
664883,664907,59,+
665048,665078,52,+
665534,665572,59,-
665624,665651,57,-
667092,667115,48,+
667141,667160,49,+
667774,667808,64,-
667968,668001,63,+
671229,671263,58,+
672081,672103,48,+
673440,673485,50,+
673532,673561,67,+
673997,674020,50,-
674141,674161,47,+
678874,678900,71,+
679045,679064,47,+
679933,679967,47,+
680120,680141,48,-
694131,694162,50,+
696518,696550,65,-
701474,701499,58,+
702408,702443,58,+
702931,702959,82,-
703373,703402,52,+
703953,703976,48,-
704292,704326,62,+
705896,705932,61,+
706063,706082,49,+
707902,707925,60,-
710582,710619,51,+
710809,710830,64,+
710873,710905,59,-
711117,711137,64,-
711620,711635,53,+
712144,712168,48,-
712394,712433,71,+
713610,713655,48,-
713878,713909,49,+
713984,714024,55,+
714131,714162,60,+
715650,715690,53,+
717890,717929,59,-
718079,718119,57,+
718274,718290,52,+
718579,718599,47,+
718856,718893,56,+
719125,719157,54,-
719826,719850,61,-
720350,720374,59,+
721321,721364,55,-
722741,722766,61,-
723197,723235,53,+
726173,726212,54,+
727040,727059,66,-
729167,729206,53,-
729765,729798,64,+
731398,731427,65,-
731825,731854,52,-
732956,732987,51,+
733502,733523,48,+
734013,734049,59,+
735717,735755,75,-
737443,737477,61,-
737768,737787,47,+
738085,738111,56,+
740247,740291,65,-
741369,741389,65,+
743186,743206,47,-
745393,745433,52,-
747235,747260,67,-
748600,748620,64,+
748885,748924,49,+
749262,749282,47,+
749830,749851,63,+
749971,750006,79,+
750114,750149,62,+
750456,750479,60,-
751015,751041,56,+
751168,751189,48,+
752322,752346,63,+
752411,752449,58,-
752461,752495,58,+
754607,754636,83,+
755020,755046,56,-
758889,758913,69,+
759840,759877,74,+
760731,760776,53,+
772399,772438,52,+
772651,772681,67,+
774063,774087,48,-
774495,774537,50,-
776013,776052,57,+
776338,776358,49,+
776691,776714,60,+
778353,778389,48,+
779160,779187,55,+
781843,781870,70,+
784847,784881,61,+
784902,784924,61,+
785115,785149,56,+
785957,785990,60,+
806017,806042,47,-
811369,811406,87,+
811883,811925,52,+
812559,812598,55,+
813123,813163,59,-
813591,813614,50,+
817366,817394,61,+
819244,819265,63,-
823715,823752,58,+
826901,826942,50,-
826984,827020,47,+
830061,830086,57,+
837663,837698,61,+
840650,840673,49,+
840737,840761,58,+
841087,841119,59,+
841433,841472,58,+
841553,841592,55,+
841983,842009,56,+
846115,846149,62,+
846741,846764,60,+
846798,846824,56,+
847044,847071,55,-
848557,848578,48,+
849052,849083,67,+
849327,849347,48,-
849737,849768,49,+
851584,851629,50,-
852729,852761,51,+
853279,853315,71,-
855021,855059,59,-
855742,855761,47,-
861571,861593,61,+
861810,861842,65,+
861875,861913,56,+
864584,864625,64,-
864818,864854,47,-
865581,865611,52,-
865985,866013,54,+
866914,866942,54,+
867265,867287,61,+
868086,868125,51,+
869039,869074,58,-
869880,869910,62,-
870939,870967,85,+
871424,871469,47,+
871696,871714,49,+
871759,871793,63,+
873718,873747,52,+
874147,874174,55,+
875716,875735,49,+
875826,875870,54,-
876976,877008,57,+
878221,878246,56,+
881818,881841,59,+
882743,882782,54,+
883020,883039,49,+
883682,883711,60,-
888401,888433,52,+
890285,890318,56,+
890336,890374,56,+
890760,890797,47,+
893444,893478,107,+
895286,895311,47,+
899627,899655,54,+
901633,901652,49,-
902518,902548,70,-
902682,902708,56,-
905022,905041,51,+
905522,905559,71,+
906136,906155,47,-
906911,906957,52,+
907669,907700,50,+
907821,907846,47,-
911848,911874,56,+
916149,916185,92,+
916437,916457,64,-
917255,917294,55,-
918527,918548,63,+
919224,919247,60,-
919475,919503,68,+
919614,919632,50,+
919835,919877,52,+
920456,920486,82,+
920642,920675,76,+
920731,920759,61,+
920949,920985,54,-
924525,924550,68,+
924806,924829,60,-
925569,925588,49,-
925962,925980,50,-
927960,928002,93,+
928545,928573,65,+
930378,930408,55,+
933899,933926,55,-
934407,934425,50,-
934968,935001,48,-
935210,935242,49,-
936838,936876,51,-
937885,937915,51,-
938279,938306,55,-
941206,941225,66,-
941913,941936,60,-
942390,942428,57,-
943034,943056,48,+
943333,943360,53,+
943671,943689,50,-
946476,946516,50,-
948524,948548,48,+
948921,948962,52,-
949388,949413,47,+
956307,956340,60,+
957319,957337,49,-
959220,959251,52,+
959896,959922,66,+
965463,965494,67,-
969884,969932,47,+
974190,974230,87,+
975414,975441,55,-
975580,975617,62,+
977715,977745,51,+
978089,978131,55,-
979029,979070,50,-
979740,979768,52,+
980390,980422,64,-
980514,980550,58,+
980780,980811,79,+
980991,981026,54,+
983347,983383,73,+
985219,985244,56,+
985375,985410,62,-
985807,985849,49,+
986526,986544,50,+
986656,986687,62,-
987034,987075,57,+
988507,988550,48,+
990480,990507,66,+
992103,992123,49,+
993625,993664,86,+
994023,994051,70,+
995119,995149,51,+
995488,995531,54,+
997730,997751,62,+
999425,999445,47,+
1003459,1003491,68,-
1003578,1003613,55,+
1004188,1004211,69,-
1004284,1004322,58,+
1004409,1004446,56,+
1005029,1005048,52,+
1005095,1005132,60,+
1005913,1005935,61,-
1006976,1007000,48,+
1008241,1008261,51,+
1009022,1009058,47,+
1009851,1009885,58,+
1012448,1012474,56,-
1012912,1012947,58,-
1014641,1014660,51,-
1015199,1015241,57,-
1015485,1015516,60,+
1023201,1023236,61,+
1024251,1024292,54,+
1032477,1032510,48,+
1043267,1043301,62,+
1047261,1047285,67,-
1048554,1048586,64,-
1050408,1050443,52,+
1051150,1051185,59,-
1051606,1051639,52,-
1051685,1051717,61,-
1052211,1052236,57,+
1052416,1052435,47,+
1052601,1052646,50,-
1054501,1054531,63,+
1055614,1055645,52,-
1057550,1057568,50,+
1061283,1061316,58,+
1062005,1062029,58,+
1062416,1062442,66,+
1064569,1064611,49,+
1067589,1067618,69,+
1068679,1068716,57,+
1068731,1068757,56,+
1069263,1069293,66,-
1070695,1070712,52,+
1071007,1071048,97,+
1072957,1072975,51,+
1073081,1073103,61,+
1073153,1073178,47,-
1075352,1075391,54,+
1079540,1079574,65,+
1079909,1079933,58,+
1080008,1080026,50,+
1081432,1081472,53,+
1081534,1081566,79,+
1081611,1081626,53,+
1082836,1082870,56,+
1084567,1084595,66,+
1086723,1086765,54,+
1088527,1088553,56,+
1089759,1089794,48,+
1089804,1089832,58,-
1091123,1091140,52,+
1091321,1091356,78,+
1093423,1093458,67,+
1093796,1093840,48,+
1094183,1094222,53,+
1095080,1095115,54,-
1095863,1095883,47,+
1096497,1096530,78,+
1098396,1098420,48,-
1100518,1100552,63,-
1101286,1101302,53,+
1101491,1101519,54,-
1101674,1101700,56,+
1104186,1104204,67,+
1104424,1104441,50,+
1104616,1104637,48,+
1104893,1104928,55,-
1107213,1107247,47,-
1108700,1108725,60,-
1109036,1109053,50,+
1109798,1109842,48,-
1115011,1115039,54,+
1116253,1116283,57,-
1119537,1119563,83,+
1120333,1120373,54,+
1120910,1120935,57,+
1121224,1121247,61,+
1121795,1121813,50,+
1121989,1122012,49,+
1122432,1122459,55,+
1123210,1123230,47,+
1123645,1123678,64,+
1124394,1124425,50,+
1126761,1126797,56,+
1126934,1126960,68,+
1126969,1127000,54,-
1128548,1128576,54,+
1136307,1136354,49,-
1138146,1138170,59,-
1138377,1138396,47,-
1140634,1140671,58,-
1143275,1143299,59,-
1143892,1143932,87,+
1145110,1145154,54,+
1152114,1152140,69,+
1152548,1152571,60,-
1152847,1152877,85,+
1153292,1153310,67,+
1154438,1154457,47,+
1155145,1155185,57,+
1155954,1155983,66,+
