# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	5864094	440	-					lpxL		EGY21_00005	921		
CDS	with_protein	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	5864094	440	-	AYZ49848.1			LpxL/LpxP family Kdo(2)-lipid IV(A) lauroyl/palmitoleoyl acyltransferase	lpxL		EGY21_00005	921	306	
gene	protein_coding	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	650	1714	+							EGY21_00010	1065		
CDS	with_protein	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	650	1714	+	AYZ49849.1			rhodanese-related sulfurtransferase			EGY21_00010	1065	354	
gene	protein_coding	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	1700	1813	-							EGY21_00015	114		
CDS	with_protein	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	1700	1813	-	AYZ54995.1			DUF2770 domain-containing protein			EGY21_00015	114	37	
gene	protein_coding	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	1889	3007	-							EGY21_00020	1119		
CDS	with_protein	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	1889	3007	-	AYZ49850.1			N-methyl-L-tryptophan oxidase			EGY21_00020	1119	372	
gene	protein_coding	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	3131	3385	-					bssS		EGY21_00025	255		
CDS	with_protein	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	3131	3385	-	AYZ49851.1			biofilm formation regulator BssS	bssS		EGY21_00025	255	84	
gene	protein_coding	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	3672	3917	-							EGY21_00030	246		
CDS	with_protein	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	3672	3917	-	AYZ49852.1			DNA damage-inducible protein I			EGY21_00030	246	81	
gene	protein_coding	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	3990	5036	-							EGY21_00035	1047		
CDS	with_protein	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	3990	5036	-	AYZ49853.1			dihydroorotase			EGY21_00035	1047	348	
gene	protein_coding	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	5160	5720	-							EGY21_00040	561		
CDS	with_protein	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	5160	5720	-	AYZ49854.1			lipoprotein			EGY21_00040	561	186	
gene	protein_coding	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	5856	6503	-							EGY21_00045	648		
CDS	with_protein	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	5856	6503	-	AYZ49855.1			glutaredoxin 2			EGY21_00045	648	215	
gene	protein_coding	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	6569	7777	-					mdtH		EGY21_00050	1209		
CDS	with_protein	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	6569	7777	-	AYZ49856.1			multidrug efflux MFS transporter MdtH	mdtH		EGY21_00050	1209	402	
gene	protein_coding	GCA_003812925.1	Primary Assembly	chromosome		CP033844.1	8007	8591	+							EGY21_00055	585		
