start,end,score,strand
9081,9104,64,+
11999,12021,49,+
12842,12861,49,+
32376,32405,58,+
34429,34457,66,+
36723,36753,57,+
43168,43189,51,+
64439,64487,47,+
68839,68881,49,+
73452,73470,49,+
82688,82714,56,+
89834,89863,52,+
101466,101504,57,-
102319,102335,70,-
104715,104733,52,-
132350,132370,47,-
160077,160097,64,-
160447,160466,49,+
166694,166714,64,-
182852,182887,58,-
189358,189379,52,+
192780,192802,61,+
204562,204580,50,-
219235,219269,60,+
232737,232780,53,+
246816,246846,66,-
258618,258635,52,+
269526,269571,50,+
279803,279835,59,+
293667,293705,49,-
301035,301072,56,+
304438,304486,48,+
316145,316170,58,-
317386,317425,54,+
337106,337125,49,+
339704,339737,65,-
342497,342527,51,+
356552,356579,55,-
368105,368123,67,-
374148,374186,50,-
411936,411977,51,+
481830,481862,58,-
508546,508579,59,-
536860,536887,55,-
539255,539290,55,+
603068,603113,50,+
603605,603631,58,+
604090,604120,68,+
627822,627842,64,-
634115,634144,54,+
635958,635995,73,+
636434,636454,64,+
646313,646345,63,+
650153,650187,47,+
659118,659160,52,+
669664,669701,58,+
678759,678795,52,+
742769,742797,52,+
766569,766606,53,+
784390,784423,63,+
793972,794003,63,+
795061,795076,53,+
817660,817682,61,-
817687,817731,47,+
830789,830812,59,+
832029,832051,51,+
839898,839917,47,-
850787,850817,55,+
851039,851072,62,+
858069,858102,59,+
892182,892211,61,-
898749,898778,62,+
903021,903041,47,-
921502,921524,48,+
926448,926480,62,+
934833,934865,51,-
935564,935598,58,-
946362,946381,51,+
952340,952375,59,+
953798,953843,49,+
969671,969700,52,+
972836,972855,47,+
973165,973209,50,+
992259,992278,49,+
993363,993397,62,+
996130,996151,48,+
1001414,1001444,51,+
1018983,1019010,110,+
1061835,1061858,59,+
1066877,1066897,51,-
1072263,1072290,53,+
1079768,1079785,69,+
1085418,1085445,83,+
1087438,1087456,52,+
1088467,1088504,51,+
1100698,1100732,47,+
1101658,1101683,56,+
1102313,1102334,64,+
1107221,1107244,60,+
1121018,1121063,50,+
1138705,1138749,52,-
1141832,1141855,69,+
1144587,1144610,50,+
1153309,1153330,62,+
1167426,1167462,56,+
1169778,1169819,51,+
1171413,1171445,60,+
1215881,1215921,53,+
1223122,1223149,55,+
1236342,1236381,54,+
1252351,1252372,49,+
1255322,1255346,48,+
1257780,1257814,72,-
1278226,1278249,50,-
1343161,1343180,47,+
1357581,1357606,47,+
1361399,1361419,64,-
1379554,1379578,48,+
1401044,1401075,67,-
1407580,1407618,53,+
1408673,1408706,47,+
1413893,1413909,53,+
1423694,1423722,69,+
1425792,1425814,48,+
1427956,1427985,66,+
1471949,1471966,50,+
1481382,1481428,48,+
1488033,1488069,55,+
1500772,1500792,48,+
1501203,1501221,49,+
1528106,1528133,53,-
1553913,1553940,55,+
1554660,1554693,48,-
1557225,1557249,48,+
1558599,1558632,61,+
1562251,1562287,55,-
1562606,1562639,48,+
1588343,1588364,63,+
1600220,1600261,53,-
1609735,1609766,49,-
1620034,1620054,48,+
1642389,1642412,69,+
1652378,1652405,57,+
1654005,1654033,65,+
1656684,1656704,47,-
1667627,1667651,59,+
1697030,1697062,51,+
1699177,1699196,49,+
1701876,1701894,49,-
1704939,1704968,57,+
1737194,1737213,49,+
1791465,1791487,48,+
1795525,1795573,48,+
1802769,1802814,53,+
1818572,1818602,68,+
1819204,1819238,59,+
1840529,1840568,71,+
1859906,1859938,54,+
1873507,1873539,47,+
1886061,1886080,51,+
1892120,1892145,47,+
1949482,1949510,54,+
1977008,1977038,60,+
1978447,1978482,64,+
1994663,1994696,64,+
1999793,1999827,58,+
2024504,2024536,57,-
2025240,2025262,61,+
2028218,2028267,48,+
2028449,2028468,51,+
2056898,2056918,48,+
2094248,2094272,48,+
2094511,2094548,61,+
2123091,2123115,59,+
2134746,2134763,52,+
2155090,2155110,64,-
2156971,2156987,52,+
2163432,2163467,59,+
2186025,2186060,59,+
