# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	82	1470	+					dnaA	66562727	CVE23_RS00005	1389		old_locus_tag=CVE23_00005
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	82	1470	+	WP_188726101.1	WP_188726101.1		chromosomal replication initiator protein DnaA	dnaA	66562727	CVE23_RS00005	1389	462	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	1475	2575	+					dnaN	66562728	CVE23_RS00010	1101		old_locus_tag=CVE23_00010
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	1475	2575	+	WP_033568156.1	WP_033568156.1		DNA polymerase III subunit beta	dnaN	66562728	CVE23_RS00010	1101	366	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	2726	3811	+					recF	66562729	CVE23_RS00015	1086		old_locus_tag=CVE23_00015
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	2726	3811	+	WP_013320098.1	WP_013320098.1		DNA replication/repair protein RecF	recF	66562729	CVE23_RS00015	1086	361	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	3829	6240	+					gyrB	66562730	CVE23_RS00020	2412		old_locus_tag=CVE23_00020
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	3829	6240	+	WP_038920700.1	WP_038920700.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	66562730	CVE23_RS00020	2412	803	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	6528	7502	-						66562731	CVE23_RS00025	975		old_locus_tag=CVE23_00025
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	6528	7502	-	WP_100848616.1	WP_100848616.1		caspase family protein		66562731	CVE23_RS00025	975	324	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	7552	7848	-						66562732	CVE23_RS00030	297		old_locus_tag=CVE23_00030
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	7552	7848	-	WP_229705566.1	WP_229705566.1		nucleoside 2-deoxyribosyltransferase		66562732	CVE23_RS00030	297	98	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	7961	8464	-						66562733	CVE23_RS00035	504		old_locus_tag=CVE23_00035
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	7961	8464	-	WP_100848618.1	WP_100848618.1		toll/interleukin-1 receptor domain-containing protein		66562733	CVE23_RS00035	504	167	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	8467	8886	-						66562734	CVE23_RS00040	420		old_locus_tag=CVE23_00040
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	8467	8886	-	WP_100848619.1	WP_100848619.1		TIR domain-containing protein		66562734	CVE23_RS00040	420	139	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	9231	10415	-						66562735	CVE23_RS00045	1185		old_locus_tag=CVE23_00045
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	9231	10415	-	WP_100848620.1	WP_100848620.1		MFS transporter		66562735	CVE23_RS00045	1185	394	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	10611	11363	-					rsmJ	66562736	CVE23_RS00050	753		old_locus_tag=CVE23_00050
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	10611	11363	-	WP_038920697.1	WP_038920697.1		16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	rsmJ	66562736	CVE23_RS00050	753	250	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	11360	13402	-					prlC	66562737	CVE23_RS00055	2043		old_locus_tag=CVE23_00055
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	11360	13402	-	WP_049855472.1	WP_049855472.1		oligopeptidase A	prlC	66562737	CVE23_RS00055	2043	680	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	13549	13833	-						66562738	CVE23_RS00060	285		old_locus_tag=CVE23_00060
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	13549	13833	-	WP_038920695.1	WP_038920695.1		DUF2623 domain-containing protein		66562738	CVE23_RS00060	285	94	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	14206	15048	+						66562739	CVE23_RS00070	843		old_locus_tag=CVE23_00070
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	14206	15048	+	WP_038920694.1	WP_038920694.1		23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ		66562739	CVE23_RS00070	843	280	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	15089	16003	-					rnz	66562740	CVE23_RS00075	915		old_locus_tag=CVE23_00075
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	15089	16003	-	WP_049855473.1	WP_049855473.1		ribonuclease Z	rnz	66562740	CVE23_RS00075	915	304	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	16366	17718	+					gorA	66562741	CVE23_RS00080	1353		old_locus_tag=CVE23_00080
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	16366	17718	+	WP_038920686.1	WP_038920686.1		glutathione-disulfide reductase	gorA	66562741	CVE23_RS00080	1353	450	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	17875	19302	-						66562742	CVE23_RS00085	1428		old_locus_tag=CVE23_00085
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	17875	19302	-	WP_236883923.1	WP_236883923.1		anion permease		66562742	CVE23_RS00085	1428	475	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	19339	20691	-						66562743	CVE23_RS00090	1353		old_locus_tag=CVE23_00090
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	19339	20691	-	WP_038663885.1	WP_038663885.1		adenylosuccinate lyase family protein		66562743	CVE23_RS00090	1353	450	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	20899	21633	+						66562744	CVE23_RS00095	735		old_locus_tag=CVE23_00095
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	20899	21633	+	WP_038920683.1	WP_038920683.1		GntR family transcriptional regulator		66562744	CVE23_RS00095	735	244	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	21648	22277	-						66562745	CVE23_RS00100	630		old_locus_tag=CVE23_00100
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	21648	22277	-	WP_225622622.1	WP_225622622.1		YitT family protein		66562745	CVE23_RS00100	630	209	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	22496	22966	+						66562746	CVE23_RS00105	471		old_locus_tag=CVE23_00105
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	22496	22966	+	WP_038920680.1	WP_038920680.1		Lrp/AsnC family transcriptional regulator		66562746	CVE23_RS00105	471	156	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	22969	24090	-						66562747	CVE23_RS00110	1122		old_locus_tag=CVE23_00110
CDS	with_protein	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	22969	24090	-	WP_049855478.1	WP_049855478.1		aminotransferase class V-fold PLP-dependent enzyme		66562747	CVE23_RS00110	1122	373	
gene	protein_coding	GCF_002812485.1	Primary Assembly	chromosome		NZ_CP025003.1	24668	25828	+						66562748	CVE23_RS00115	1161		old_locus_tag=CVE23_00115
