start,end,score,strand
15034,15053,66,+
18671,18708,54,+
28859,28875,53,-
30731,30762,50,+
69817,69856,57,+
77326,77352,56,-
77991,78023,49,+
79163,79180,50,-
85110,85136,56,+
89867,89889,49,-
90103,90133,49,+
98423,98451,88,+
99152,99168,52,-
103693,103720,55,+
109533,109572,52,+
109881,109906,68,+
121164,121196,59,+
121605,121628,60,+
122287,122312,47,+
123711,123736,57,+
129131,129177,50,-
157793,157813,64,-
164532,164555,71,-
202824,202846,61,+
215833,215854,48,-
218767,218785,51,+
219180,219197,69,+
234722,234743,51,-
253760,253786,56,+
259055,259077,61,+
265180,265207,53,+
271635,271669,62,-
272455,272481,60,-
273439,273460,63,+
273787,273821,60,-
303915,303961,49,+
325521,325540,47,+
334064,334084,49,+
341901,341934,62,-
350768,350792,48,+
355612,355632,51,+
363422,363446,67,+
380814,380834,64,+
386608,386628,48,-
426947,426969,48,-
443072,443099,61,+
445201,445227,56,-
446823,446845,61,+
459375,459398,50,+
464998,465017,49,+
517518,517550,76,-
540414,540452,59,+
544078,544097,47,-
545158,545190,66,-
546465,546499,60,+
596158,596196,74,+
616293,616323,49,+
623035,623080,47,+
644287,644317,68,+
650198,650230,58,+
652941,652982,53,+
674934,674954,64,-
675022,675054,82,+
678062,678081,49,-
681257,681286,54,+
683100,683137,55,+
686695,686727,62,-
690186,690211,47,+
700403,700443,54,-
701105,701138,58,+
706696,706738,52,+
708314,708341,55,+
717018,717045,58,-
717310,717343,48,-
717541,717564,49,+
718796,718816,51,-
724644,724671,53,+
729853,729885,63,+
730679,730718,55,+
751420,751441,49,+
761440,761463,49,-
766935,766959,48,+
786826,786849,48,-
792546,792569,50,+
811524,811540,53,+
822285,822323,56,-
853046,853065,47,-
857820,857842,48,-
859726,859755,63,-
861995,862019,48,+
869956,869994,58,+
902542,902566,48,-
915478,915511,47,+
930042,930075,62,-
932357,932388,60,-
936910,936935,57,-
944251,944291,53,+
945360,945381,53,-
949074,949106,50,+
962267,962300,55,+
965871,965893,48,+
965913,965942,69,-
975451,975483,64,+
983448,983472,48,+
991472,991503,50,+
992929,992950,48,+
994606,994632,56,+
1023271,1023295,59,+
1029072,1029090,51,+
1039439,1039461,48,+
1040835,1040859,59,+
1042765,1042784,49,+
1054119,1054146,64,-
1064582,1064599,50,+
1082847,1082883,55,+
1093563,1093587,59,+
1093754,1093781,55,+
1104165,1104190,71,+
1105705,1105724,49,+
1107390,1107417,81,+
1122384,1122403,47,+
1160858,1160886,66,+
1181180,1181207,55,+
1184168,1184189,48,-
1192546,1192569,60,+
1200285,1200307,48,-
1213305,1213340,55,-
1218249,1218279,51,+
1219763,1219785,63,+
1221300,1221328,67,-
1227023,1227043,47,-
1235172,1235205,48,+
1245355,1245384,63,+
1248163,1248202,57,+
1248787,1248827,58,+
1261721,1261754,59,-
1276411,1276433,51,+
1278209,1278235,55,+
1282907,1282924,69,+
1284021,1284043,61,+
1286083,1286104,62,+
1287097,1287118,63,+
1295439,1295458,49,+
1299810,1299837,55,+
1301637,1301661,48,+
1303408,1303432,48,+
1305253,1305284,76,+
1311264,1311293,52,+
1330481,1330515,48,-
1340959,1340987,61,+
1341360,1341391,52,-
1342980,1343009,86,-
1364067,1364090,48,+
1406362,1406384,51,+
1407502,1407521,47,+
1430408,1430426,49,+
1432842,1432868,60,+
1443426,1443458,49,-
1445521,1445538,50,+
1451736,1451756,64,+
1458951,1458970,66,-
1490319,1490342,50,+
1514889,1514924,52,+
1520408,1520427,47,-
1520516,1520548,49,-
1526368,1526387,47,-
1526483,1526502,47,+
1544750,1544772,61,+
1551794,1551833,49,+
1554984,1555012,65,+
1566130,1566150,64,+
1580653,1580674,63,+
1589778,1589810,54,+
1611102,1611118,52,+
1620338,1620360,61,+
1623357,1623401,48,+
1625564,1625585,48,+
1637440,1637477,51,+
1648819,1648854,78,+
1655689,1655718,69,+
1679555,1679594,61,+
1688748,1688790,57,+
1689502,1689522,64,+
1693278,1693302,48,-
1695560,1695604,48,-
1695713,1695735,61,+
1702517,1702536,47,+
1706976,1707000,58,+
1708085,1708113,68,+
1718429,1718447,49,+
1735752,1735784,60,+
1739947,1739972,57,+
1743979,1744012,64,+
1748269,1748287,51,+
1753553,1753592,54,+
1755998,1756022,59,+
1757333,1757370,51,-
1760352,1760390,55,+
