# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	4908990	1320	+					dnaA	49319930	DZA65_RS00005	1389		old_locus_tag=DZA65_00001
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	4908990	1320	+	WP_024107878.1	WP_024107878.1		chromosomal replication initiator protein DnaA	dnaA	49319930	DZA65_RS00005	1389	462	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	1325	2425	+					dnaN	49319931	DZA65_RS00010	1101		old_locus_tag=DZA65_00002
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	1325	2425	+	WP_024109372.1	WP_024109372.1		DNA polymerase III subunit beta	dnaN	49319931	DZA65_RS00010	1101	366	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	2591	3676	+					recF	49319932	DZA65_RS00015	1086		old_locus_tag=DZA65_00003
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	2591	3676	+	WP_024107876.1	WP_024107876.1		DNA replication/repair protein RecF	recF	49319932	DZA65_RS00015	1086	361	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	3694	6105	+					gyrB	49319933	DZA65_RS00020	2412		old_locus_tag=DZA65_00004
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	3694	6105	+	WP_103415820.1	WP_103415820.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	49319933	DZA65_RS00020	2412	803	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	6182	7366	-						49319934	DZA65_RS00025	1185		old_locus_tag=DZA65_00005
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	6182	7366	-	WP_024109370.1	WP_024109370.1		MFS transporter		49319934	DZA65_RS00025	1185	394	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	7560	8312	-					rsmJ	49319935	DZA65_RS00030	753		old_locus_tag=DZA65_00006
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	7560	8312	-	WP_024109369.1	WP_024109369.1		16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	rsmJ	49319935	DZA65_RS00030	753	250	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	8309	10351	-					prlC	49319936	DZA65_RS00035	2043		old_locus_tag=DZA65_00007
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	8309	10351	-	WP_024109368.1	WP_024109368.1		oligopeptidase A	prlC	49319936	DZA65_RS00035	2043	680	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	10497	10781	-						49319937	DZA65_RS00040	285		old_locus_tag=DZA65_00008
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	10497	10781	-	WP_024107871.1	WP_024107871.1		DUF2623 domain-containing protein		49319937	DZA65_RS00040	285	94	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	10954	11796	+						49319938	DZA65_RS00045	843		old_locus_tag=DZA65_00009
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	10954	11796	+	WP_024109367.1	WP_024109367.1		23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ		49319938	DZA65_RS00045	843	280	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	11895	12809	-					rnz	49319939	DZA65_RS00050	915		old_locus_tag=DZA65_00010
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	11895	12809	-	WP_024109366.1	WP_024109366.1		ribonuclease Z	rnz	49319939	DZA65_RS00050	915	304	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	13190	14542	+					gorA	49319940	DZA65_RS00055	1353		old_locus_tag=DZA65_00011
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	13190	14542	+	WP_024109365.1	WP_024109365.1		glutathione-disulfide reductase	gorA	49319940	DZA65_RS00055	1353	450	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	14593	15588	-						49319941	DZA65_RS00060	996		old_locus_tag=DZA65_00012
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	14593	15588	-	WP_232483736.1	WP_232483736.1		anion permease		49319941	DZA65_RS00060	996	331	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	15673	17025	-						49319942	DZA65_RS00065	1353		old_locus_tag=DZA65_00013
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	15673	17025	-	WP_024107866.1	WP_024107866.1		adenylosuccinate lyase family protein		49319942	DZA65_RS00065	1353	450	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	17234	17968	+						49319943	DZA65_RS00070	735		old_locus_tag=DZA65_00014
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	17234	17968	+	WP_024107865.1	WP_024107865.1		GntR family transcriptional regulator		49319943	DZA65_RS00070	735	244	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	18660	20063	+						49319944	DZA65_RS00080	1404		old_locus_tag=DZA65_00015
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	18660	20063	+	WP_024107863.1	WP_024107863.1		MBOAT family protein		49319944	DZA65_RS00080	1404	467	
gene	protein_coding	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	20050	21117	+						49319945	DZA65_RS00085	1068		old_locus_tag=DZA65_00016
CDS	with_protein	GCF_003403135.1	Primary Assembly	chromosome		NZ_CP031560.1	20050	21117	+	WP_026594876.1	WP_026594876.1		DUF459 domain-containing protein		49319945	DZA65_RS00085	1068	355	
